subjek,video_id,video_title,author,comment,like_count,published_at
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@Mr.Dr.-q9v,"Aksesories itu tergantung siapa yang pakai. Jika itu pejabat atau orang kaya, walaupun harganya tak seberapa, pasti akan naik kelas. Sedangkan bagi pejabat yang justru memakai jam tangan mahal, itu tidak akan ada gunanya dan justru akan mengurangi nilai dari pemakainya.",2,2025-09-19T13:08:39Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@mettymaryam1204,menteri yang kereeen🙏,0,2025-09-19T10:05:06Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@ZULQORNAINZul-y2m,"Yang sederhana terlihat elegan dan disayang, terlihat mewah keliatan creepy",0,2025-09-19T09:58:17Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@bsoda69,KAK.. kancingnya kurang banyak.. 🤨🤨,1,2025-09-19T07:43:00Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@meylinarejeki7495,"8 juta itu mahal, gaji 2 bulan😂",0,2025-09-19T06:58:27Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@imelimel-o4x,jam tangan 8 jt ya mahal. sy beli jam tangan sophie martin 150 rb bayar 3x,0,2025-09-18T14:48:23Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@tahmudadhadi4312,"Meskipun ia pakai jam tangan mahal, ia bukan type tukang cari muka kpd atasannya
Ia punya uang dari hasil kerja yg halal....",0,2025-09-18T07:30:58Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@AldymyMan,"SDH TEPAT JADI PEJABAT!!
YG DIKEDEPANKAN ISI OTAK & TINDAKAN REVOLUSIONER!!
TANCAP GAS PAK PURBAYA!!!",7,2025-09-18T06:30:17Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@tvmo7,"YANG PENTING JARUM JAM , MENIT DAN DETIKNYA TEPAT WAKTU GAK DIKURANGI GAK DITAMBAH",8,2025-09-18T06:26:18Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@wiwinhandayani5020,"jangan kaget pak jd pejabat pasti smua dikulik,kalau bs sampai merk sempak jg dikulik😂",0,2025-09-18T05:28:49Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@willyangga5594,TOPPPP,1,2025-09-17T12:03:42Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@MirawatiLestariSlamet,"Baju batik beliau juga gak banyak, dipakai berulang ulang...😅. Kebanyakan pejabat  baju nya sekali pakai, gak pernah dipakai berulang...",6,2025-09-15T12:05:26Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@Kreator_Sda,"Iya p purbaya ini sederhana, batiknya juga itu² saja",11,2025-09-14T12:25:06Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@tutiami4649,🤲🏻🇮🇩👍🤲🏻🇮🇩👍🤲🏻🇮🇩👍🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻,0,2025-10-19T02:22:40Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@rdakreatifchannel2200,"Entah mengapa Ngabalin merasa risih melihat Menkeu yg sekarang, padahal rakyat senang dan sudah lama menantikan Mentri yg cerdas, gaya santai seperti ini dan saya merasa insyaallah dgn kepemimpinan beliau, ada harapan baru untuk Indonesia lebih baik kedepannya.",0,2025-10-18T23:49:13Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@UunUnaesih-ch2ix,"Kita doakan smoga indonesia lebih baik, ada org baik dan pintar seperti pak purbaya",0,2025-10-18T10:38:33Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@prayitnowidodo7537,Low profile tapi berisi dan berwibawa.....sy berharap Se terus nya begitu pak menteri....filosofi ilmu padi makin berisi makin nunduk....jgn ilmu jagung makin berisi makin tegak....Aamiin,0,2025-10-18T05:33:43Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@laboratoriumpetroasia2116,Beda klo pejabat merakyat fasilitas mewah pun ditolak,0,2025-10-18T04:44:57Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@RedWhite-h3c,Sehat terus Pak Purbaya..layak menggantikan Pak Prabowo 2029 😂😂 zaman Pak Prabowo usaha serba susah...,0,2025-10-17T10:30:46Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@DimasAlfiandri-yu2vi,pak Purbaya jadi wakil presiden,0,2025-10-17T06:33:50Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@KamuakuKamuaku,gak sperti bu srimul,0,2025-10-17T02:12:42Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@FeriSiswanto-rh3gh,Sikat yang kurang beres Bapak Purbaya. Mantab Bapak MENKEU SIDANG KE BANK PLAT MERAH...... Lanjutkeeen P. Purbaya,0,2025-10-16T09:22:03Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@nockeynew9471,Beliau sadar..ga mau bikin org2 disitu keder...JD bawa nyante aja sidaknya...mantulll pak Pur,0,2025-10-16T04:24:33Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@kusmardiyantomadelan7358,"Mudah2 an tetap spt itu gaya, sikap, sifat Beliau❤",0,2025-10-16T01:39:53Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@aira17916,Salfok ama cewe di thumbnail nya.. Siapa kah dia?,0,2025-10-15T17:01:17Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@rahmatrabel2864,Ahy .purbaya next president.n wapres .,0,2025-10-15T04:36:55Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@robertusbolibotoor298,Biasax mentrikaya gini merasa tdk puxa beban karna tidak korupsi jujur dan transparan,0,2025-10-15T04:07:57Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@mainanbocah8416,Kenapa ga dr dulu sih,0,2025-10-14T02:34:44Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@tuttymuriani2127,Sombongnya pak Purbaya bukan karena pamer ... tapi bicara apa adanya. Sombong yg bikin kangen ... 😂,0,2025-10-13T07:49:30Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@mahasenabisuda,Tau ga kenapa Pak Purbaya ngga mau duduk dikursi yg sdh disediakan?,0,2025-10-13T00:01:08Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@visibirukreasi4614,"Lagi diangkat derajatn,semoga  gak lupa diri pak...",0,2025-10-10T17:08:06Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@Tailincung7,"Lumayan gila sih ini orang, cuma, pemain-pemain inti mafioso belum menujukkan taringnya, masyarakat harus bisa kawal ini mentri.",0,2025-10-10T13:52:39Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@rumkat-k2r,Salut sama beliau akhirnya muncul Mentri Mentri yang jujur. Semoga selalu di lindungi allah.saya percaya dengan adanya beliau ada sedikit kecerahan indonesia,0,2025-10-08T10:40:39Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@NyongUdi-m7n,"Kalau wakil presiden Indonesia Pak Purbaya mendampingi pak prabowo,Insya Allah pas. Sama2 kerja nyata dan para koruptor pasti masuk angin pengen kabur",0,2025-10-08T07:46:43Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@KamaKamaruddin-e4c,"Mantap pak menkeu Purbaya, seperti ini sosok wakil presiden.",0,2025-10-08T04:45:04Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@EpiJunaedi,Poko nya presiden masa depan yang berani dengan keputusan nya,0,2025-10-08T04:11:25Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@ormansyaafsyaaf5843,Pak Prabowo tdk salah pilih,0,2025-10-08T02:11:42Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@pondokchannel2076,Ha...ha...ini baru koboi...sikat semua pejabat pejabat kotor Pak Pur...😂😂😂,0,2025-10-07T22:43:37Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@kocakpokemon2458,Wapres aing di 2029,0,2025-10-07T20:30:46Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@EndroDewanto-v8w,Auranya Bener2 Seorang Menkeu Pedjantan tangguh !!,0,2025-10-07T02:56:56Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@kangslamettv1981,"Terbukti ternyata orang yg pandai, tegas itu banyak..... Knp kok Sri Mulyani terus",0,2025-10-06T20:43:21Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@lososantoso3886,"Baru kali ini... Gue liat Mentri. Ikut seneng. Karena kebijakaknnya benar benar di cek. Langsung. Bukan laporan. Tapi langsung. Gaes..  
.yg dulu cuma. Pajak. Pajak... Dan puaajakkk... 

Sambil mencap mencep. 
Apalagi waktu serah terima jabatan. Dia. G senyum senyumnya sama pa purbaya. 😅😅",0,2025-10-06T15:10:35Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@syafrultanjung5454,Jd penasaran trs melihat sepak terjang Purbaya ini...,0,2025-10-06T15:01:25Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@ikoahmad2922,SEHAT SELALU PAK PURBAYA SEMANGAT SALAM DARI ANAK KALTIM 🙏❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2025-10-06T14:12:19Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@dinarrahayu4023,"Serasa lagi kerja, tiba tiba ditengokin bapack...😊❤",0,2025-10-06T11:06:12Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@NotohardjoAndi-oq6hh,"Wah, idola baru pak purbaya .. hehehe",0,2025-10-06T01:08:03Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@maryatimargaretta7396,Ada mbak cantik.bag apa itu,0,2025-10-05T15:28:50Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@WawanSetiawan-i4s7f,Yg SEBENERNYA.. PEMIMPIN ITU LEBIH BAIK SEORANG LAKI-LAKI DIBANDING PEREMPUAN....,0,2025-10-05T04:14:58Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@fahmibahri3798,"Smoga bpk dlindungi Allah swt,senang liat aura wajah bpk,bpk orang baik tp tegas dg yg diamanahkan",0,2025-10-05T03:05:13Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@AusterlitzDavout-uk9ou,"Gaul ini menteri...! Kalau tar,  terbukti bhw hasil & kinerja nya, juga  sukses & mantul..!! .KEREN,  lhaa..!!! Lbh bagus , dari si mantan menkeu hampir "" abadi "" , pendahulu nya !..ha ha ha..😂😂😂🎃👍🏼💪🏽",0,2025-10-05T02:40:57Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@mohammadirfanirfan2495,"Pak amran dan pak purbaya the best, semoga jujur menjalan tugasnya agar nkri sejahtera",0,2025-10-05T02:13:09Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@jajuli26,ada pemandu karaoke? hati2 jebakan gunung kembar 😂,0,2025-10-05T02:11:54Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@StarGate960,itu yang rapat tercatat lagi bahu membahu dalam melanggengkan praktek ribawi 😂,0,2025-10-04T14:00:28Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@dadangnas3295,Kalau akhlak baik sudah jadi karakter dimanapun namapak ketulusan dalam bertindak tdk akan sombong walau punya jabatan .,0,2025-10-04T04:42:10Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@andipraseno,kenapa nggak dari dulu?!,0,2025-10-04T04:18:00Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@irmanirman-f8h,"Kehadiran pak Mentri membuat Jajaran Direksi BNI seperti staff biasa, luar biasa profilnya...",1,2025-10-04T02:35:38Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@Kasmaboti-b8h,Pak menkeu top pokoknya,0,2025-10-03T17:04:48Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@AgusAeuw,"Semoga Alloh SWT beri kekuatan dan istiqomah, sebab orang jujur, amanah pro rakyat sangat lah berat banyak musuh dalam selimut yang tak rela kenyamanan hidupnya dalam kemungkaran di usik.",0,2025-10-03T15:05:36Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@fajarnih9544,Gw suka gaya lu pakkk❤❤❤... bismillah...amanah...semoga Indonesia ekonomi lebih baik..aamiin,1,2025-10-03T13:45:15Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@NadyaUlyana-hf4xn,Waduh mata pak mentri langsung menuju ke yg terakhir 😂😂😂😂😂,0,2025-10-03T12:01:17Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@Iychoenk,00:53 itu mbak siapaaa ...? 😍😍,0,2025-10-03T11:42:28Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@1357erwin,Purbaya harus jadi Wapres,0,2025-10-03T09:28:06Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@anandatv4759,"Uang Indonesia byk di habisin oleh pejabat nya,,yg gaji selangit dan pasilitas yg mewah,,, rakyt yg byr pajak cuma dpt ampas nya",0,2025-10-03T07:37:10Z
Purbaya Yudhi Sadewa,D8lt888furM,"Momen Menkeu Purbaya Tolak Duduk di Kursi Utama saat Rapat Kantor BNI, Pilih Gabung dengan Direksi",@PrabandonoHadiwidjojo,Luar biasa beliau,0,2025-10-03T06:32:39Z
