subjek,final_text
Purbaya Yudhi Sadewa,low profile isi berwibawasy harap menterifilosofi ilmu padi isi nundukjgn ilmu jagung isi tegakaamiin
Purbaya Yudhi Sadewa,beda jabat rakyat fasilitas mewah tolak
Purbaya Yudhi Sadewa,sehat purbayalayak ganti prabowo zaman prabowo usaha serba susah
Purbaya Yudhi Sadewa,purbaya wakil presiden
Purbaya Yudhi Sadewa,sperti srimul
Purbaya Yudhi Sadewa,sikat beres purbaya mantab menkeu sidang bank plat merah lanjutkeeen purbaya
Purbaya Yudhi Sadewa,beliau sadarga bikin orang situ kederjd bawa nyante sidaknyamantulll pur
Purbaya Yudhi Sadewa,mudah spt gaya sikap sifat beliau
Purbaya Yudhi Sadewa,salfok ama cewe thumbnail kah
Purbaya Yudhi Sadewa,ahy purbaya next presidentn wapres
Purbaya Yudhi Sadewa,biasax mentrikaya gin tdk puxa beban karna korupsi jujur transparan
Purbaya Yudhi Sadewa,sombong purbaya pamer bicara sombong bikin kangen
Purbaya Yudhi Sadewa,tau purbaya ngga duduk kursi sedia
Purbaya Yudhi Sadewa,angkat derajatnsemoga lupa
Purbaya Yudhi Sadewa,lumayan gila orang pemainpemain inti mafioso menujukkan taring masyarakat kawal menteri
Purbaya Yudhi Sadewa,salut beliau muncul menteri menteri jujur moga lindung allahsaya percaya beliau cerah indonesia
Purbaya Yudhi Sadewa,wakil presiden indonesia purbaya damping prabowoinsya allah pas kerja nyata koruptor masuk angin ken kabur
Purbaya Yudhi Sadewa,mantap menkeu purbaya sosok wakil presiden
Purbaya Yudhi Sadewa,poko presiden berani putus
Purbaya Yudhi Sadewa,prabowo tdk salah pilih
Purbaya Yudhi Sadewa,hahaini koboisikat jabat jabat kotor pur
Purbaya Yudhi Sadewa,wapres aing
Purbaya Yudhi Sadewa,aura bener menkeu pedjantan tangguh
Purbaya Yudhi Sadewa,bukti orang pandai knp sri mulyani
Purbaya Yudhi Sadewa,kali gue liat menteri neng kebijakaknnya cek langsung lapor langsung gaes pajak pajak puaajakkk cap mencep serah terima jabat senyum senyum purbaya
Purbaya Yudhi Sadewa,penasaran trs sepak terjang purbaya
Purbaya Yudhi Sadewa,sehat purbaya semangat salam anak kaltim 
Purbaya Yudhi Sadewa,serasa kerja ditengokin bapack
Purbaya Yudhi Sadewa,idola purbaya hehehe
Purbaya Yudhi Sadewa,mbak cantikbag
Purbaya Yudhi Sadewa,sebenernya pimpin lakilaki banding perempuan
Purbaya Yudhi Sadewa,smoga bpk dlindungi allah swtsenang liat aura wajah bpkbpk orang amanah
Purbaya Yudhi Sadewa,gaul menteri tar bukti bhw hasil kerja sukses mantul keren lhaa lbh bagus mantan menkeu abadi dahulu ha
Purbaya Yudhi Sadewa,amran purbaya the best moga jujur jalan tugas nkri sejahtera
Purbaya Yudhi Sadewa,pandu karaoke hati jebak gunung kembar
Purbaya Yudhi Sadewa,rapat catat bahu bahu langgeng praktek ribawi
Purbaya Yudhi Sadewa,akhlak karakter mana namapak tulus tindak tdk sombong jabat
Purbaya Yudhi Sadewa,nggak
Purbaya Yudhi Sadewa,hadir menteri jajar direksi bni staff profil
Purbaya Yudhi Sadewa,menkeu top pokok
Purbaya Yudhi Sadewa,moga alloh swt kuat istiqomah orang jujur amanah pro rakyat berat musuh selimut rela nyaman hidup mungkar usik
Purbaya Yudhi Sadewa,suka gaya pakkk bismillahamanahsemoga indonesia ekonomi baikaamiin
Purbaya Yudhi Sadewa,mata menteri langsung 
Purbaya Yudhi Sadewa,mbak siapaaa
Purbaya Yudhi Sadewa,purbaya wapres
Purbaya Yudhi Sadewa,uang indonesia byk habisin jabat nyayg gaji langit pasilitas mewah rakyt byr pajak ampas
Purbaya Yudhi Sadewa,beliau
Purbaya Yudhi Sadewa,presiden ahok menkeunya purbaya sejahtera negara
Purbaya Yudhi Sadewa,suka lihat karakter menteri ini
Purbaya Yudhi Sadewa,mantap menteri juos juos
Purbaya Yudhi Sadewa,moga bpk menkeu sehat aleh allah swtuntuk selesai uang dinegri
Purbaya Yudhi Sadewa,kawal lindung purbaya bisaaaa
Purbaya Yudhi Sadewa,gaya
Purbaya Yudhi Sadewa,purbaya wapres tandem dedi mulyadi
Purbaya Yudhi Sadewa,duduk tdknya butuh rakyat alias citra rakyat butuh kerja nyata kembali ekonomi rakyat jerit ekonmi
Purbaya Yudhi Sadewa,wajah direksi bni tegang pmentri duduk kursi utama situ smua blajar direksibahwa tdk smua orang suka istimewakansmga spt
Purbaya Yudhi Sadewa,polos buka wajar sosok menkeu cerdas putra putri bangsa beliau jelas sifat transparan rakyat suka beliau kes arogan sehat umur boss
Purbaya Yudhi Sadewa,mana loe teman
Purbaya Yudhi Sadewa,salfok samabajunya cece dah kek pergi pesta
Purbaya Yudhi Sadewa,cocok banget tribuns
Purbaya Yudhi Sadewa,keren menteri purbaya
Purbaya Yudhi Sadewa,love purbaya
Purbaya Yudhi Sadewa,moga koboy djanggo bunyamin sueb bela rakyat
Purbaya Yudhi Sadewa,mantap pur
Purbaya Yudhi Sadewa,ayo beres uang negara sampe cecer tangan tangan
Purbaya Yudhi Sadewa,humbel
Purbaya Yudhi Sadewa,ubah metri uang
Purbaya Yudhi Sadewa,manusia
Purbaya Yudhi Sadewa,cari royke tauke sana malu sikatt bandarr agen kreditt bni komando
Purbaya Yudhi Sadewa,asliii real dedi mulyadi palsu citra urus receh coba suruh ngurus pagar laut
Purbaya Yudhi Sadewa,menkeu idola ceria ber adab
Purbaya Yudhi Sadewa,selamat beliau jabat menteri ganteng beliau wajah sinar
Purbaya Yudhi Sadewa,tunggu ott
Purbaya Yudhi Sadewa,lumayan menteri rusak msh menteri harap rakyat purbaya ahy bagus rusak kompeten singkir
Purbaya Yudhi Sadewa,alarm nyala
Purbaya Yudhi Sadewa,kursix samakrn rapat jabat bank bni beliau takut kursix jampi jdi wajar cari kursi acak
Purbaya Yudhi Sadewa,isi britanyayg bijak berat rakyat ndakkalo pajak ngaruh
Purbaya Yudhi Sadewa,sahaja
Purbaya Yudhi Sadewa,thun peras naik pajakkkk cekik rakyat ganti purbaya mnjadi kemenkeu moga rakyat mnjadi bhagia
Purbaya Yudhi Sadewa,purbaya teman nih teman teman teman degdeg gua mah
Purbaya Yudhi Sadewa,gaskeun
Purbaya Yudhi Sadewa,blusukan wkwk
Purbaya Yudhi Sadewa,tri keliling salamanlow profile
Purbaya Yudhi Sadewa,ujung capres partai politik
Purbaya Yudhi Sadewa,hebat pur sederhana
Purbaya Yudhi Sadewa,pimpin gila hormat purbaya sehat semangat purbaya rakyat indonesia
Purbaya Yudhi Sadewa,semangat menkeu
Purbaya Yudhi Sadewa,purbaya nggak usir berani pak
Purbaya Yudhi Sadewa,bni bnyak mafia tmn dana situ salahgunakan moga ganti menteri uang trbuka dana tmn yng blok bni kasihan rakyat hasil jerih payah sulit puluh moga sadar hai orang dzolim
Purbaya Yudhi Sadewa,doa mas menkeu purbaya wapres sekolah jelasjujur jilat pintar pro rakyat humble integritas tdk diragukanwis opo maneh partai dpr coba usaha gesercopot purbayakalian buly tinggal rakyat nusantarasemangat mas menkeu
Purbaya Yudhi Sadewa,senyumya
Purbaya Yudhi Sadewa,menteri satusatunya anggap menteri
Purbaya Yudhi Sadewa,ken kerjainta lowong purbaya orang bni tlong anak lahir kena phk
Purbaya Yudhi Sadewa,hallo jabat bank himbara suka duduk kursi empuk
Purbaya Yudhi Sadewa,purbaya jaim sok wibawa orang gesit sat set mampir bni beliau panggil direksi bni hadap kantor kemenkeu purbaya turun langsung bni moga contoh menteri gercep turun langsung instansi kait bidang jelimet birokrasi hormat
Purbaya Yudhi Sadewa,hati jilat spertinya
Purbaya Yudhi Sadewa,purbaya ganteng pinter cerdas degane kambil ijo bejane sing duwe bojo duwie akeh pis smga rakyat sejahtera
Purbaya Yudhi Sadewa,orang ganteng moga depan
Purbaya Yudhi Sadewa,jabat kayak beliau
Purbaya Yudhi Sadewa,menteri ramah banget sapa jabat tangan
Purbaya Yudhi Sadewa,menteri harga kerja
Purbaya Yudhi Sadewa,purbaya ganteng
Purbaya Yudhi Sadewa,gaya rock star make nkri great again
Purbaya Yudhi Sadewa,patut contoh tdk gila harta jabatanselalu rendah hati menkeu hebat
Purbaya Yudhi Sadewa,biaya administrasi bank tel rampok tabung habis ludes tanungan hehehe
Purbaya Yudhi Sadewa,tabung habis bayar administrasi biaya bank rakyat
Purbaya Yudhi Sadewa,alexandra askandarsekarang bni
Purbaya Yudhi Sadewa,gila jabat
Purbaya Yudhi Sadewa,lihat lihat aura kayak anis
Purbaya Yudhi Sadewa,menkeu royal anggar belanja pegawai sulawesi selatan makassar
Purbaya Yudhi Sadewa,purbaya orang sahaja
Purbaya Yudhi Sadewa,neng baca komentar moga purbaya komen ttg beliau slalu dlam lindung allah swt aamiin
Purbaya Yudhi Sadewa,hati hati tuntun duduk pur jarum
Purbaya Yudhi Sadewa,bismillahirrahmanirrahim moga allaah bimbing tunjuk beliau amanah jalan tugas tingkat ekonomi masyarakat man jadda wajadda
Purbaya Yudhi Sadewa,neng lihat orang pinter
Purbaya Yudhi Sadewa,petinggi bni jilat
Purbaya Yudhi Sadewa,ngomong citra
Purbaya Yudhi Sadewa,tahan kebofohan fan adil haik tinggal kursih luar bagus
Purbaya Yudhi Sadewa,nggaau duduk kutsih utama bagus
Purbaya Yudhi Sadewa,menteri humble bijak pihak rakyat balik sri mulfirauni
Purbaya Yudhi Sadewa,lgi bangun individual branding salah pilih beliau mengkeu
Purbaya Yudhi Sadewa,klu pilih bawah menteri gimna pimpin
Purbaya Yudhi Sadewa,ngumpul suruh kerja jamgan nyantai kantor pake
Purbaya Yudhi Sadewa,mantaaab lena rayu curi koruptor bedasi munafik jilat
Purbaya Yudhi Sadewa,marie muhammad
Purbaya Yudhi Sadewa,moga bijak bawah tekan atas bawah tmen ketik
Purbaya Yudhi Sadewa,menteri kabinet kapasitas titip parpol balasbudi politik
Purbaya Yudhi Sadewa,allah lindung menkeu purbaya tuntun beliau amanah sukses bangun ekonomi rakyat negeri aminn allah
Purbaya Yudhi Sadewa,kerennnn luarbiasa menkeu
Purbaya Yudhi Sadewa,fungsi kontrol juara menteri uang
Purbaya Yudhi Sadewa,entot enak
Purbaya Yudhi Sadewa,keren seoarang kemenkeu nothing lose penting rakyat ekonomi
Purbaya Yudhi Sadewa,hebat nih menkeumuter nyalamin lochbiasanya bawah maju nyalaminini kebaliksehat menkeu
Purbaya Yudhi Sadewa,gemetar rapat awas menteri
Purbaya Yudhi Sadewa,sungguh mulia hati hormat manusia jarang melhat jabat sehat jalan tugas doa baik keluarga jauh buruk lindung allah maha esa
Purbaya Yudhi Sadewa,shock therapy
Purbaya Yudhi Sadewa,puur  mul 
Purbaya Yudhi Sadewa,selamat menkeu purbaya kerja baru moga efek ekonomi baik
Purbaya Yudhi Sadewa,jossss
Purbaya Yudhi Sadewa,next presiden
Purbaya Yudhi Sadewa,bubar pinjol judol pakjangan pelihara korban
Purbaya Yudhi Sadewa,masya allah menteri bener humble vibesnya positif banget
Purbaya Yudhi Sadewa,menteri keren genius sombong purbaya musuh tikus rampok negara moga alloh lindungin purbaya aamiin
Purbaya Yudhi Sadewa,lhaa purbaya sidak bebas duduk kursi mana kecuali rapat atur pas rapatpak purbaya duduk kurs sidak nglesot boleh
Purbaya Yudhi Sadewa,purbaya tdk ambil kursi utama nyaman ngomongnya nyaman dengar keluh bawahanya rasa purbaya sahsaja
Purbaya Yudhi Sadewa,bapak cowboy low profileknpa anak kmren belagu bet
Purbaya Yudhi Sadewa,jabat benergak butuh hormat baur
Purbaya Yudhi Sadewa,menkeu knp ganti
Purbaya Yudhi Sadewa,duduk dengar kadang pimpin pimpin arah
Purbaya Yudhi Sadewa,gigit cabik tdk bener kerjannya
Purbaya Yudhi Sadewa,sehat purbaya hati musuh selimutkarena bijaksana purbaya pihak rakyatdan hilang bijaksana
Purbaya Yudhi Sadewa,moga nyata kontribusi bangsa negara indonesia
Purbaya Yudhi Sadewa,contoh menteri coboy baikdan cerdas
Purbaya Yudhi Sadewa,kuasaiilmu uang koboi pede hadapin smua gempur
Purbaya Yudhi Sadewa,nilah jabat orang gila jabat
Purbaya Yudhi Sadewa,cew knp pake batik
Purbaya Yudhi Sadewa,dek dek serrrrrrr tuh
Purbaya Yudhi Sadewa,terus menteri rakyatmendoakan engkau nyata mausidak memggambarkan bersih jujurkita butuh
Purbaya Yudhi Sadewa,sehat menteri humble ganteng tuhan kati indonesia
Purbaya Yudhi Sadewa,wooowcool hes style bravo purbaya 
Purbaya Yudhi Sadewa,orang pinter gin isi kepala apaya
Purbaya Yudhi Sadewa,duduk kursi tara anak buah masalahyang isi bicara manfaat rakyat terus sederhana
Purbaya Yudhi Sadewa,sri mulyani
Purbaya Yudhi Sadewa,citra trus kau babi
Purbaya Yudhi Sadewa,muke cengobingung liatliatan lempar pandang bengong krn rapat ngerumpi
Purbaya Yudhi Sadewa,isyarat purbaya penting jabat kerja bangun negri peduli
Purbaya Yudhi Sadewa,salah menteri paham jobdesk nyayg tolol kayak
Purbaya Yudhi Sadewa,sidak cek transaksi treasurynya borong dollar lucu duduk kursi utama abis nuntut nanya
Purbaya Yudhi Sadewa,mantaff kreen pis mugia amanah purbaya
Purbaya Yudhi Sadewa,moga indonesia bawah beliaubagusbagus nyata beliau naik pajakkarena ekonomi sperti
Purbaya Yudhi Sadewa,mohon kalo sidak tau dtg gabung rapat direksi
Purbaya Yudhi Sadewa,menteri purbaya hebat
Purbaya Yudhi Sadewa,biar liat songong gpp jabat gas biar ngerasain gaji guede ketulungan mantap
Purbaya Yudhi Sadewa,menteri uang bener spt bumn sidak
Purbaya Yudhi Sadewa,emang turun langsung anti pencitraankerja nyata
Purbaya Yudhi Sadewa,gagal fokus dewan direksibanyak amatjadi wajar yaa satset ambil bijak kalah swastabelum biaya gaji dewan pasti fantastis efek suku bunga kredit retailumkm digit
Purbaya Yudhi Sadewa,moga allah swt lindung meridhoi purbaya aaamin robbal alamin
Purbaya Yudhi Sadewa,berterinakasihlah jarah
Purbaya Yudhi Sadewa,the next leader
Purbaya Yudhi Sadewa,iki pimpin seng josss
Purbaya Yudhi Sadewa,ketar tir menkeu kerja nyata
Purbaya Yudhi Sadewa,kabar baik lengser sayton sri mulyani
Purbaya Yudhi Sadewa,keren
Purbaya Yudhi Sadewa,masuk eko masuk pur
Purbaya Yudhi Sadewa,sok uzon lihat kerja nilai bpk menkeunyakan tunggu aja insha allaah ubah positif indonesiamanusia sempurna
Purbaya Yudhi Sadewa,purbaya tara jerome powell jenius
Purbaya Yudhi Sadewa,menteri yng transparan mudah fahami sanggup terobos kaku birokrasi smga indonesia emas cepat
Purbaya Yudhi Sadewa,sbnrnya sop mng duduk kursi ters but bilng knpa pas kontenin nolak duduk dsitu paham duduk dmna sensasi trus
Purbaya Yudhi Sadewa,orang pinter sederhana moga sukses
Purbaya Yudhi Sadewa,takuttt ibuuu purbaya nggigit kokkk
Purbaya Yudhi Sadewa,wajar jaim
Purbaya Yudhi Sadewa,moga rendah hati purbaya rendah hati langkah hasil gue demen nih gaya menteri moga menteri nih ahok daya patriot 
Purbaya Yudhi Sadewa,bismilah tang purbaya ubah ekonomi nkri pro rakyat
Purbaya Yudhi Sadewa,liat trus liat video anak miris
Purbaya Yudhi Sadewa,sehat bapa purbaya
Purbaya Yudhi Sadewa,kerennnnn purbaya
Purbaya Yudhi Sadewa,bni tikus
Purbaya Yudhi Sadewa,mantap boss
Purbaya Yudhi Sadewa,bersih
Purbaya Yudhi Sadewa,takut bawa meja gepok uang siaapkan mantaps
Purbaya Yudhi Sadewa,kerja bener pasti negara bangkrut entar jadiin presiden ganti prabowo
Purbaya Yudhi Sadewa,sok ntar udah thn lihat gmn kerja
Purbaya Yudhi Sadewa,menkeu humble ramah disamperin disalamin moga lancar amanah emban tugas negara
Purbaya Yudhi Sadewa,kalo lihat bukti dlu nyembah menteri nilai tukar rupiah dolar kuat nilai ihsg
Purbaya Yudhi Sadewa,neng menteri fuul senyum
Purbaya Yudhi Sadewa,sehat upaya baik indonesia indonesia
Purbaya Yudhi Sadewa,menteri gaya santai sopan wibawa
Purbaya Yudhi Sadewa,menteri sepuh ngganteng kharismatik pinterjd harap rakyat bijak ringan rakyat
Purbaya Yudhi Sadewa,kerenlgs kikuk hahamantab mentrimmg hrsnya spt ituga dikit kursi vip
Purbaya Yudhi Sadewa,moga bpk purbaya pulih ekonomi nilai tukar dolar lemah rupiah kuat ekonomi jalan normal harap tangkap copot oknum dirjen nakal korup
Purbaya Yudhi Sadewa,sayang detik bunga pinjam blm turun akses kur ngga gimana menteri
Purbaya Yudhi Sadewa,menteri pihak rakyat indonesia 
Purbaya Yudhi Sadewa,tusuk dana syarat peminjamanya ribet fakta lapang perban meribetkan pinjam umkn atur oemerinrah
Purbaya Yudhi Sadewa,moga purbaya tinjau pajak jual coklat tani pupuk non subsidi racun pajak tani rugi harga coklat turun sulteng
Purbaya Yudhi Sadewa,tolong sejahtera pensiun janji pingin bayar
Purbaya Yudhi Sadewa,menteri purbaya wajib pecat orang orang bumn
Purbaya Yudhi Sadewa,keren menkeu
Purbaya Yudhi Sadewa,indonesia orang hebat profesional pura profesional pencitraaan lanjut purbaya pertiwi dukung gebrak keren gebrak kobar matah putih
Purbaya Yudhi Sadewa,pakpurbaya emang okeee bingit
Purbaya Yudhi Sadewa,pusing direksi bank bumnalamat tantiem ini
Purbaya Yudhi Sadewa,lindung tuhan sempurna purbaya team
Purbaya Yudhi Sadewa,sidak pertamina
Purbaya Yudhi Sadewa,mantabs mah
Purbaya Yudhi Sadewa,prabu purbaya idola indonesia
Purbaya Yudhi Sadewa,anda orang kabinet tri purbaya indonesia maju sejahtera kerja nyata bangsa negara mantap kaleng
Purbaya Yudhi Sadewa,andai andai menteri kabinet pur indonesia maju sejahtera
Purbaya Yudhi Sadewa,mantap sidak bripara teller kerja lambat proporsional
Purbaya Yudhi Sadewa,menteri bener sibuk pajakin palakin rakyat
Purbaya Yudhi Sadewa,tolong resin menteri 
Purbaya Yudhi Sadewa,mantap menteri uang
Purbaya Yudhi Sadewa,mohon maaf nilai beda perintah jokowi prabowo signifikan jajar perintah jokowi bicara kerja nyata sesuai tugas kewajibanl perintah bicara tugas bicara kiyai guru humas perintah ceramah media reporter bakul jamu komentator saya
Purbaya Yudhi Sadewa,menkeu cerdas nih
Purbaya Yudhi Sadewa,jenismodel menteri
Purbaya Yudhi Sadewa,koordinasi menteri bumn krn bank plat merah bawah koordinasi
Purbaya Yudhi Sadewa,semangat purbaya
Purbaya Yudhi Sadewa,tau sosmed muncul menkeu baru pdhal muncul sosmed menkeu aneh
Purbaya Yudhi Sadewa,omong suwe koyok taek mbul gembul
Purbaya Yudhi Sadewa,hambat berantas semangat purbaya bumn kasih contohjd pelopor rakyat dah bosen denger alas bumn slalu rugi
Purbaya Yudhi Sadewa,masuk akal
Purbaya Yudhi Sadewa,mafia main mata perintah
Purbaya Yudhi Sadewa,mantap maju ters purbaya berani cerdas jujur pikir rkyt
Purbaya Yudhi Sadewa,kereen guru gembul saya simak
Purbaya Yudhi Sadewa,tuju dapat guru gembul cerdas rakyat tipu politik citra lihat penuh darah
Purbaya Yudhi Sadewa,doa purbaya kuat membrantas mafia gantung allah
Purbaya Yudhi Sadewa,top purbaya top rakyat top dukung
Purbaya Yudhi Sadewa,pintar wowo lindung kuasa sejahtera masyarakat aja
Purbaya Yudhi Sadewa,maaf guru sama era srimulyani purbaya era sri uang nganggur pur uang produktif kait utang negara masuk dlm rencana pur hitung
Purbaya Yudhi Sadewa,gara pinokio temen gorong
Purbaya Yudhi Sadewa,gembul move jokowi
Purbaya Yudhi Sadewa,mana mafia jahat licik akal bulus birokrat abdi masyarakat rakyat bawa arus mafia cari uang samping ngurus susah birokrat rangkap biro jasa ilegalsegala urus uang lancar salah menang kalah perkara hukum
Purbaya Yudhi Sadewa,sok pintar sok tau omongkodong mulu halu gembul
Purbaya Yudhi Sadewa,liat bpk gembul ngira doang
Purbaya Yudhi Sadewa,oligarki mafia preman sulit berantas butuh kuasa kali tuju guru
Purbaya Yudhi Sadewa,nrocos bergenti ujung pangkal
Purbaya Yudhi Sadewa,nrocos sealannya kmna point gembol
Purbaya Yudhi Sadewa,ekonomi pasar lesu mafia mafia nggak belanja guru
Purbaya Yudhi Sadewa,koruptor termul ketar tir panik
Purbaya Yudhi Sadewa,dukun
Purbaya Yudhi Sadewa,masuk akal
Purbaya Yudhi Sadewa,komen negatipitu syirik irih dengki tdl orang bnr
Purbaya Yudhi Sadewa,guru gembol sol pinter
Purbaya Yudhi Sadewa,rakyat indonesia mari kompak dukung purbaya segenap kuat doa
Purbaya Yudhi Sadewa,uda bul adu domba umatmendingan tidur ajamasih orang pinter jenius banding bul
Purbaya Yudhi Sadewa,iya salah gemar
Purbaya Yudhi Sadewa,kadang dengar berita berita bingung jatuh
Purbaya Yudhi Sadewa,orang orang gampang pesona umpama gadis cantik persis cantik
Purbaya Yudhi Sadewa,mutu
Purbaya Yudhi Sadewa,guru gembul kpan kenal menkeu
Purbaya Yudhi Sadewa,tdk kenal orang asalmana tdk benci tarik orang that man not fit for the job menteri uang percayakanpada orang credibilitasnya nggak kasihanpresiden prabowonya rusa reputasi
Purbaya Yudhi Sadewa,rasa menteri uang algoritma view muncul wajar paham kes sengaja kemas heroik
Purbaya Yudhi Sadewa,menteri bantu presiden
Purbaya Yudhi Sadewa,orang kayak pinter
Purbaya Yudhi Sadewa,mantaap guru gembul jembatan publik gelabui tingkat curang rekayasamanipulasi atas mafia
Purbaya Yudhi Sadewa,bang abg kalkulasi kah gera dahulu purbaya beliau eks monster beliau tahu jadi senjata musnah monster
Purbaya Yudhi Sadewa,kemaren lengser purbaya bayar mafia
Purbaya Yudhi Sadewa,sotta nyambung nyambung
Purbaya Yudhi Sadewa,btewe alien dikenaln brp
Purbaya Yudhi Sadewa,manajemen konflik kang tuju kontrol mudah pimpin kendali organisasi
Purbaya Yudhi Sadewa,rakyat indonesia pihak dukung purbaya
Purbaya Yudhi Sadewa,juta manusia kalang pimpin indonesia orang jujur jari rakyat jaman raja rakyat sabar tuhan
Purbaya Yudhi Sadewa,neg muntah
Purbaya Yudhi Sadewa,allah kuat selamat sehat orang negeri ini
Purbaya Yudhi Sadewa,menteri purbaya 
Purbaya Yudhi Sadewa,rakyat indonesia masihgoblok uang ribu suruh demo oligarki kwakwakwa
Purbaya Yudhi Sadewa,mbg program rakyat bagus ide mbg awas mana orang buat tetep afa orang khianat bravo presiden
Purbaya Yudhi Sadewa,moga purbaya menteri uang baik
Purbaya Yudhi Sadewa,selesai turutin agenda global bikin digital aka tanda dajjal aka mark the beast tdk orang korupsi
Purbaya Yudhi Sadewa,rsjyat dukung adil
Purbaya Yudhi Sadewa,monster malak kemren lepas
Purbaya Yudhi Sadewa,negri orang pro rakyat serang mafia miris rakyat gampang adu domba
Purbaya Yudhi Sadewa,kritik perintah ngoceh doang coba masuk jabat trus buktiin hebat kritik agama islam pesantren hati asuh sanggup trus kritik kontribusi nyata lapang biar manfaat omon belakang tok penting hasil konten pribadi
Purbaya Yudhi Sadewa,heran kalo auto skip guru gembul
Purbaya Yudhi Sadewa,menkeu kendali moneter guru
Purbaya Yudhi Sadewa,butuh menteri uang bosa action senyap koar koar korban sasar salah tembak rakyat
Purbaya Yudhi Sadewa,urus perut rakyat politisirrakyat nilai rasa pimpin bikin rakyat tenang tentram
Purbaya Yudhi Sadewa,sampe detik cari keburu menkeu
Purbaya Yudhi Sadewa,ngeri banget media
Purbaya Yudhi Sadewa,rawa pandawa saudara musuh gerak kendali dalang gantung dalang
Purbaya Yudhi Sadewa,prabowo cari didlm tdk
Purbaya Yudhi Sadewa,suka purbaya jahat geng solo
Purbaya Yudhi Sadewa,udah dapet duit youtube donasi
Purbaya Yudhi Sadewa,drama doang senjata politik prabowo prabowo jahat ham
Purbaya Yudhi Sadewa,teori cak gebul ngawur
Purbaya Yudhi Sadewa,iya menteri bongkar korupsi
Purbaya Yudhi Sadewa,prediksi paman gembul
Purbaya Yudhi Sadewa,mbul ngomong opo koe iki termul lho
Purbaya Yudhi Sadewa,prediksi guru gembul thd purbaya dukung menkeu
Purbaya Yudhi Sadewa,purbaya jarah gembul nih ngawur analisis analisis ndak dasar profikatif nih gembul ndak otak
Purbaya Yudhi Sadewa,nguk nguk nguuk nguk udah mamam mbul 
Purbaya Yudhi Sadewa,sok tau masuk akal
Purbaya Yudhi Sadewa,harap taktik endap sisa anggar sengaja tdk serap program kerja awas endap bank tahun bunga bayang trilyun bunga milyar rentan bancak tdk aman sisa anggar tdk serap bidang perhati
