tokoh,text,label
Sri Mulyani Indrawati,"Terlepas dari editan atau lain sebagainya, tapi memang rakyat melihat para koruptor, DPR dan pejabat yg justru dipandang BEBAN Negara..!!!",negatif
Purbaya Yudhi Sadewa,"Kalau Pak Purbaya kita nilai baik dan akan membawa Indonesia ke arah yg lebih baik, kita semua harus mendukung, membela dan melindungi. Jangan biarkan beliau berjuang dan mati sendiri. Jangan sampai kita hanya berkomentar dan bangga saja, tidak berbuat apa-apa.",positif
Sri Mulyani Indrawati,Ini lonte ya,negatif
Sri Mulyani Indrawati,Ini mentri perampok dan perusak negara,negatif
Purbaya Yudhi Sadewa,"Memang betul kata gusdur
 Prabowo orangnya baik hati",positif
Sri Mulyani Indrawati,Masak rmh Mentri sejelek itu Ndak mewah...ini rmh yg ke berapa....luuur😊😊😊 mcm biasa aja...mobil nya alfad rmh nyaa jelek mcm mustahil juga 😊😊😊,negatif
Sri Mulyani Indrawati,Pajak buat bayar pejabat,negatif
Purbaya Yudhi Sadewa,Harusnya aturan pemerintah itu setiap org yg jadi Mentri.. harus keluar dari partai agar TDK terikat lagi dgn keinginan partai.,netral
Sri Mulyani Indrawati,Indonesian not facing inflammation but corruption,negatif
Sri Mulyani Indrawati,"pidatonya ok lah, kerja & kinerja nya yg amburadul, yg menyengsarakan rakyat, ..",negatif
Sri Mulyani Indrawati,Ngeless,negatif
Sri Mulyani Indrawati,Keluarga sri anjeng,negatif
Purbaya Yudhi Sadewa,"Barakallah,pak presiden",positif
Purbaya Yudhi Sadewa,yang menyerang purbaya adalah penjilat,negatif
Sri Mulyani Indrawati,Pajak itu haram Sri sri,negatif
Sri Mulyani Indrawati,DPR yg merusak rakyat .makan makan uang rakyat,negatif
Sri Mulyani Indrawati,"Lo jadi Mentri pinter yg minterin siapa,kalau bukan guru,emangnya Lo bisa pinter sendiri,pinter tapi kok bego",negatif
Sri Mulyani Indrawati,"Tanpa guru...nggak akan ada orang pintar
Dan jangan sombong semua hanya titipan...dari Alloh tunggu tanggal mainnya pasti musnah semua....sekedar ada gempa sibuk mencari perlindungan kesana kemari....se x  lagi jangan sombong.",negatif
Sri Mulyani Indrawati,Kalaw bukan jasa guru mana ada anak anak bangsa jadi pinter ...he anda juga pinter seperti sekarang ini atas jasa guru jaga tuh lisan,negatif
Sri Mulyani Indrawati,Para pejabat pada mikir gak sih dengan apa yang dilakukan rakyat???,netral
Purbaya Yudhi Sadewa,Bu Sri Mulyani terjebak dan tertekan dengan IMF.. makanya sudah benar langkah menkeu sekarang jadi cari investor dengan pembenahan regulasi kebijakan bukan ngemis investor dan negara lain,positif
Purbaya Yudhi Sadewa,"Kita sebagia rakyak jelata...yg di tuntut harus mannut dengan aturan negara.... walaupun mata hati kita tak bisa melihat..kalo para pemimpin tidak amanah. ....mereka akan menangung atas ke zaliman yg mereka perbuat. Akan menerima azab dari tuhan kita ,aamiin ya rob 🤲",netral
Purbaya Yudhi Sadewa,Memuju secara personal tapi dalam suatu polituk prabowo butuh dukungan partai2 yang saat ini jadi koalisi jika terlalu frontal koalisi akan oecah dan GERINDRA akan kekurangan prosentase suara dipemilu. Agar prosenrase gerindra retap kuat maka pwrlu kita nol kan suara partai lain yang mundur dari koalisi,netral
Sri Mulyani Indrawati,"Di zaman SBY 1triliun Dana century hilang tampa penjelasan.. 
Rezim jokowi 7000 Triliun hutang negara melimpah ,Itu tanda tdk ada keseriusan srimulyani dlm mengelola ke uangan negara... Di Jaman prabowo Dia lagi jd Mentri keuangan negara😅😅😅😅",negatif
Purbaya Yudhi Sadewa,Pak Purbaya sukses terus q senang sekali klau memberikan pencerahan tentang ekonomi Indonesia mantsp,positif
Purbaya Yudhi Sadewa,Rakyat banyak mendukungnya Pak Purbaya yudhi Sadewa jangan takut maju terus yg utamakan kejujuran dan transparansi,positif
Purbaya Yudhi Sadewa,Purbaya pusingmunmulia untuk rakyat...kepalamu belum botak..masih kuat kau😂😂😂....kalau Purbaya jangan di lepas...koruptor bisa nari bale bale,positif
Sri Mulyani Indrawati,"Ibu sri itu bagian dri perjalana hidup bukan,bukan sekedar karir pikirkan tentang negara ini,ibu telah di akui kemampuan bukan sekedar bucara",positif
Purbaya Yudhi Sadewa,Gerombolan penggerogogot rakyat PENGGEROGOT BANGSA DAN NEGARA DPR rakyat TDK percaya BULSHIT,negatif
Sri Mulyani Indrawati,Corruption and Mulyono gangsters are the main challenges for Indonesia😢,negatif
Sri Mulyani Indrawati,Jgn byk utang ksh tau presidennya. Belajar byr utang bgmns. Tanya itung2an sm jerome. Amit2 malu2in,negatif
Purbaya Yudhi Sadewa,Owh ini toch host yg lagi viral yg jlebb di jawab pak purba 😅,netral
Purbaya Yudhi Sadewa,muhidin gubernur kalsel: koboi salah tembak,netral
Purbaya Yudhi Sadewa,Yalah kalau bisnis lg sysah psjak dinaikan bs 2 pengusaha bsk 2 ngak mkn,negatif
Sri Mulyani Indrawati,Lebih bagus mundur drpd pettahan kan orang tak menghargai propesi orang lain   mungkin dia bs jd mentri tmpa sekolah mk gk menghargai guru dia bs pintar belajar dgn malaikat x pejabat skang klu ngomong atau bkin aturan se enak udel nya aja tmpa mikir nyakiti hati rakyat,negatif
Sri Mulyani Indrawati,Tanpa guru kamu g jari menteri,negatif
Sri Mulyani Indrawati,Pfftt  ... gak pantes loe sok ngasih tausiyah mul .. minggir gih,negatif
Purbaya Yudhi Sadewa,Sehat sllu Bpk presidenku.... ❤❤😇😇,positif
Purbaya Yudhi Sadewa,Pak purbaya bongkar semua  kebodohan menteri keuangan seperti srimulyani,positif
Sri Mulyani Indrawati,mudah mudahan terlaksana....amin ya rabbal alamin,positif
Sri Mulyani Indrawati,Poli tikus ya gini.. mencla mencle,negatif
Purbaya Yudhi Sadewa,"Kalau tanam padi, rumput pasti ikut tumbuh,, semangat pak Purbaya,, negara ini butuh orang orang seperti anda 💪💪",positif
Purbaya Yudhi Sadewa,"Bagus pak jelaskan masalah kondisi ekonomi dengan bahasa yg sederhana dengan contoh contoh nya agar kami rakyat kecil yg tdk kerja di kantoran dan sekolah nggak nyampe lulus intinya dagang dijalanan jd punya ilmu yg bermanfaat utk usaha kecil dan menengah, utk pinjaman dr bank himbara tolong dibantu pak Purbaya, kita yg penting bisa usaha utk bisa makan syukur "" Pinjaman tdk ada bunga dan ringan membayar nya ke bank( tempo) jangka nya tdk buru buru atau cepat.",positif
Sri Mulyani Indrawati,"Omon omon,tunggu Anies 2029 gaji naik rakyat sejahtera.....!!!?😊",negatif
Sri Mulyani Indrawati,"Guru yg  mengelu terhada gaji yg ditentukan  ,lebih  baik. Mundur  banyak kok yg antri jadi guru   kat",negatif
Purbaya Yudhi Sadewa,Presidenku 2 preode ❤❤❤❤,netral
Purbaya Yudhi Sadewa,Byk diperlukan peperangan terbuka di internal negeri kita. Semoga kali ini pak Purbaya yg menang,positif
Purbaya Yudhi Sadewa,Maju terus pak Purbaya kami selalu mendoakan mu,positif
Purbaya Yudhi Sadewa,Cerdas,positif
Purbaya Yudhi Sadewa,"Saya ulangi barkali-kali di bagian""makin pusing Purbaya tambah pusing tdk apa2 pusingmu mulia untuk rakyat"" karena beliau bekerja di jln yg benar,,semoga Pak Purbaya diberi kesehatan dan rezeki yg lancar agar bisa terus memimpin di Kementrian RI❤❤❤",positif
Purbaya Yudhi Sadewa,"Gua masih mau hidup. Mau komentari pemerintahan juga ngeri² sedep skrng, walaupun ada nya kebebasan berpendapat. Yang berpower semoga bisa mewakili deh. 
Males di track dan kena intimidasi lalu klarifikasi. 🥱😏",netral
Sri Mulyani Indrawati,Jadi netizen yg pinter dikit... jangan langsung percaya dg berita di medsos....,positif
Purbaya Yudhi Sadewa,"Yang jelas di kangenin Rakyat lah model kaya Pa Purbaya enak di ikuti bikin kangen Rakyat membela dan mendukung Menkue kita yg Ganteng n cerdas kerjanya sag seg nyata mbok dari duluuuuu Pa Purbaya,Sehat selalu pa Purbaya👍🏻👍🏻👍🏻👍🏻🙏🏻🙏🏻",positif
Purbaya Yudhi Sadewa,mantap pa mentri,positif
Sri Mulyani Indrawati,Selamat sore ❤,netral
Sri Mulyani Indrawati,Woww Mantep rumahnya,netral
Purbaya Yudhi Sadewa,"Orang Sunda mah jelemana Lempeung, wani ngababad berarti gs wani ngambil resiko. Sakalina ngejeut lawan na pasti ngagebeur ulah salah ieu Purbaya lain orang sembarangan.",netral
Purbaya Yudhi Sadewa,Keren Bp Purbaya ❤,positif
Purbaya Yudhi Sadewa,"Jangan takut , tuhan bersama kita . Sementara iblis bersama mereka .",positif
Purbaya Yudhi Sadewa,"Perhatikan hanya pak purbaya yg mencatat sekecil apapun penyampaian Rapat. Lihat yang lain 😢

Jgn salah, ini hal2 yg ga banyak dinotis org tapi disitulah kita lihat kesungguhan dan keseriusan seseorang",netral
Purbaya Yudhi Sadewa,Yo wis bapak kasih tau lah ke pak purbaya ... manusia kan ga ada yg sempurna pak .. tolong dukung kekurangannya .... demi keselamatan negara kita dari para koruptor2 pak ..... semangat ... 💪,positif
Purbaya Yudhi Sadewa,Karena tindakan menteri keuangan yg satu ini mengganggu keuangan mereka😂😂😂,netral
Purbaya Yudhi Sadewa,"Menkeu Purbaya..sosok amanah,jujur,tegas, mentingin rakyat. Yang kontra gua pastikan mereka yg lawan arus, takot kebongkar aibnya selaku pejabat po politisi sekalian. Gua heran, mati gak bawa harta, kok dibelain korupsi segala, ngrampas gak org lain/ rakyat",positif
Sri Mulyani Indrawati,ADILI YANG MEMBUAT VIDEO HOAKS tersebut!!!!!!!! SEKARANG JUGA!!!!!,positif
Purbaya Yudhi Sadewa,Sdh pasti salah kebijakannya... Mknya rakyat Indonesia tetep miskin..,negatif
Purbaya Yudhi Sadewa,Pantesan Bahlul nggak dicopot karena punya kontrak politik,negatif
Purbaya Yudhi Sadewa,Pertumbuhan bagi kmi tidak penting yg kami mau infrastruktur krn di zaman sby jalan hancur di mana mana dan nginap dijalan bermalam .sdngkan di jaman jokowi pertumbuhan lebih sedikit terasa lebih buah dgn jalan yg mulus dan tidak hambatan apa pun bagi kami yg diplosok kaltim,netral
Purbaya Yudhi Sadewa,"Pak Purbaya Pinjaman KUR untuk UMKM terkendala oleh OJK, contoh kayak saya sebagai UMKM tidak lolos pinjaman KUR disebabkan ada yg memakan nama saya 7 tahun yg lalu, terjadilah Kredit macet mereka tidak sanggup bayar, saya mau tanya batas waktu BI Checking berapa tahun, Pak apakah BI Checking berlaku seumur hidup mohon pencerahannya Pak .",netral
Purbaya Yudhi Sadewa,Jangan pajak saja yang diperhatikan untok pemasukan  negara mestinya sektor 2 yg laen terutama tambang tambang apa sudah benar cara pengelolaannya.,netral
Purbaya Yudhi Sadewa,Tolong pak ada bantuan bagi para janda terlebih yg usianya sudah tua karena tak bisa lagi bekerja terima kasih,netral
Purbaya Yudhi Sadewa,"Pak purbaya bagus
Bahlil no...",positif
Purbaya Yudhi Sadewa,"Alangkah indahnya jika di Indonesia ada banyak ""Purbaya"" yg jadi pejabat",positif
Purbaya Yudhi Sadewa,Pak Purbaya akan jd presiden nih di tahun 2029.. Ibaratnya satrio piningit karna pendekar baru sudah muncul... Smoga tercapai bisa jd presiden,positif
Sri Mulyani Indrawati,Coba di terjemahkan lebih intelektual betul guru itu beban dan tanggung jawab negara yg harus diperhatikan lebih spesialis. ...dgn anggaran yg sesuai dan ditingkatkan,netral
Sri Mulyani Indrawati,Ini video AI hoax jngn mudah percaya,positif
Sri Mulyani Indrawati,Adanya A1 Dipergunakan utk fitnah dan hoak hts ada pencerahan buat rakyat agar tak mudah percaya berita hoak,positif
Purbaya Yudhi Sadewa,"Itulah, begitu jauh bedanya, Menkeu yang lalu dengan Menkeu yang sekarang.
Bravo Bpk Purbaya, jaga dan pegang amanah",positif
Purbaya Yudhi Sadewa,"Yakin Purbaya akan digulingkan di 2026.
Karena terlalu pro rakyat dan merugikan para koruptor busuk.",positif
Purbaya Yudhi Sadewa,Purbaya dibeking rakyat ❤,positif
Purbaya Yudhi Sadewa,Pas tuh... 2029 Prabowo - Purbaya..... pasangan top markotob,positif
Sri Mulyani Indrawati,"Kalau melihat dari sudut pandang keadilan, sangat tidak adil jika kenaikan gaji hakim hingga 280% bisa langsung cair di 2025, sementara kenaikan gaji PNS yang cuma 8% harus tertunda.",negatif
Purbaya Yudhi Sadewa,"Persis Kayak Anak Saya, GenZ.
Padahal pinter,..Mereka punya gaya dn kemauanNya Sendiri.
Alhamdulillah skrg sdh mandiri😊",netral
Purbaya Yudhi Sadewa,Purbaya di bantu rakyat,positif
Purbaya Yudhi Sadewa,"PK PURBAYA ITU BIJAK DAN TEGAS 
TAPI ASYIIIKKK 😂😂😂❤❤❤❤",positif
Purbaya Yudhi Sadewa,"Yg Bersebrangan dgn BPK Purbaya simpel saja berarti Bersebrangan dgn Rakyat dgn kebenaran , bestinya Luhut dan Jokowi",positif
Purbaya Yudhi Sadewa,Kenapa ya selalu dari partai PDIP yg selalu kontra dgn kebijakan Menkeu???,netral
Purbaya Yudhi Sadewa,"Pak Menkeu mulai diserang Penjahat dan Poli.. tikus, jangan takut....takutlah sama Allah & rakyat selalu mendukung Bapak....maju terus panjang mundur",positif
Sri Mulyani Indrawati,Dana yg di korupsi selama ini yg di sita negara perlu juga di audit sudah berapa triliun..itu juga harus di umumkan..trima kasih,netral
Sri Mulyani Indrawati,Kemana Duit 700 trliun kemarin kok defisit terus,netral
Sri Mulyani Indrawati,tangkap yg membuat video tersebut,positif
Purbaya Yudhi Sadewa,Dpr dewan pencekik rakyat,negatif
Sri Mulyani Indrawati,Yang menghabiskan uang negara siapa,netral
Sri Mulyani Indrawati,"Semoga  ibu selalu Umur Panjang  serta Indonesia Tetap Jaya Makmur,dalam memperingati HUT Ke 80 kemerdekaan Republik Indonesia Emas tetap jaya Abadi selamanya Amin.",positif
Sri Mulyani Indrawati,kl mau kebenaranya lihat video pidato itb jgn asal percaya,positif
Sri Mulyani Indrawati,rakyat kuta mudah sekali terprofokasi ya Alloh,positif
Purbaya Yudhi Sadewa,Alhamdulillah syukur ya Allah sehat selalu bpk menteri Purbaya,positif
Purbaya Yudhi Sadewa,"Karena negara ga bs dipercaya... Sekolah tinggi, ada jabatan....MASIH KALAH JAUH DG KORUPTOR YG DG SANTAINYA BERAKSI DI INDONESIA..... HUKUMANNYA RINGAN!! 😅",netral
Sri Mulyani Indrawati,Kasih aja pak barang2 itu ke rakyat.. ksian mereka lebih butuh buat byr pajak,netral
Purbaya Yudhi Sadewa,Sehat slalu bpk purbaya ❤,positif
Purbaya Yudhi Sadewa,"Haqqul Yaqin, Purbaya Yudhi SADEWA memiliki kekuatan yang di Rahmati Alloh SWT, didukung oleh Pola fikir Rakyat Indonesia yang Sehat dan Religius serta FAKTA yang akurat sebagai senjata yang cepat dan tepat sasaran.",positif
Sri Mulyani Indrawati,Harusnya memang begitu....knp ga dr dlu... menunggu di demo kah...menunggu kacau balau kah...atau takut giliran di datangi rmhnya oleh smw kalangan masyarakat.. atau gimana... kenapa baru skr..,netral
Sri Mulyani Indrawati,"Orang Indonesia itu gagap teknologi, makanya mudah terkena HOAX, cepat reaktif tanpa mikir, otak jarang dipakai yg diutamakan emosi, makanya otak tumpul.",positif
Purbaya Yudhi Sadewa,Selama benar maju terus Bpk. Purbaya,positif
Purbaya Yudhi Sadewa,Saya rasa bukan hanya di dukung pak prabowo tapi 80% rakyat Indonesia dukung pak purbaya,positif
Sri Mulyani Indrawati,Gw dr awal dh tau itu AI..tp msh byk yg kemakan..inget indonesia bubar 2030 bisa terjadi klo rakyat gk smart dlm menanggapi situasi..pihak asing sangat diuntungkan dgn adanya perpecahan,positif
Purbaya Yudhi Sadewa,capek bener pak ya,netral
Purbaya Yudhi Sadewa,Maju pak mentri ❤,positif
Sri Mulyani Indrawati,"aji pegawai Kementerian Keuangan (Kemenkeu) bervariasi tergantung pada golongan, jabatan, dan tunjangan yang diterima. Gaji pokok PNS Kemenkeu diatur dalam Peraturan Pemerintah, dengan rentang terendah sekitar Rp1,68 juta dan tertinggi sekitar Rp6,37 juta per bulan. Selain gaji pokok, PNS Kemenkeu juga menerima tunjangan kinerja yang besarannya bervariasi, bahkan bisa mencapai puluhan juta rupiah per bulan untuk jabatan tertentu.",netral
Purbaya Yudhi Sadewa,"Harusnya subsidi harga buku tulis, pulpen, pensil dll, buat yg versi pemerintah kalo perlu biar lebih murah. udah gak relevan bikin pelaran menulis.",netral
Purbaya Yudhi Sadewa,"Krn Pak Purbaya,saya ngerti ilmu ekonomi dan finansial..kita jd tahu betapa borosnya cara memerintah si Wiwi n The Geng.Kr Pak Purbaya kita jd tahu bahwa kita sebagai rakyat terlalu lana dibo'ongin..contoh fripor itu sdh jd milik kita ehh ngak tahunya cm 0,03 persen",netral
Purbaya Yudhi Sadewa,Jadinya ketahuan pejabat yg suka makan uang rakyat.....ini masuk lingkaran Dajjalut 🤣🤣🤣🤣🤣,netral
Purbaya Yudhi Sadewa,Lanjut pak purbaya audit semua pak,positif
Sri Mulyani Indrawati,"Tabayun, itu video sudah diubah dengan AI...Artificial Intelligence..Bu Sri Mulyani, adl Menteri pertama yang terkena fitnah AI...",positif
Sri Mulyani Indrawati,Semoga para pensiunan naik gaji pensiun nya saya doakan bapak presiden dan ibu mentri Sri,positif
Purbaya Yudhi Sadewa,Perlu rakyat selidikin.. Ini.. Sejarah.. Yg tidak ingin kan Indonesia.. Hanya pki,negatif
Sri Mulyani Indrawati,Bu Sri kan Ustadzah,positif
Purbaya Yudhi Sadewa,Itu bos bos besar tidak pernah membayar pajak,negatif
Sri Mulyani Indrawati,"Sudah di seting pada masa itu,jadi yg bener yg gg otoritanya kuran ma sd uk dipaket itu gk bisa apa2",netral
