subjek,final_text,label
Purbaya Yudhi Sadewa,karna masyarakat indo minim literasi mudah kenal pola pikir komentar vidio ikut sampe,negatif
Purbaya Yudhi Sadewa,andai andai menteri kabinet pur indonesia maju sejahtera,positif
Sri Mulyani Indrawati,laksamana uang republik indonesia semangat sukses laksana negara indonesia cinta ,positif
Purbaya Yudhi Sadewa,sabang samoai merauke ayo rakyat satu jaga purbaya moga ujung tombak membrantas jabat zolim busuk ygsama pro rakyat boropro jajah siksa rakyat,positif
Purbaya Yudhi Sadewa,uang tdk sejahtera bangsa rakyat indonesia sejahtera,positif
Sri Mulyani Indrawati,tinggal sri mulyani indonesia berdarahdarah peres pajak,negatif
Sri Mulyani Indrawati,prabowo bedah mantap,positif
Sri Mulyani Indrawati,mantap lucu banget,positif
Purbaya Yudhi Sadewa,ngabalin risih menkeu rakyat senang menteri cerdas gaya santai insyaallah pimpin beliau harap indonesia depan,positif
Sri Mulyani Indrawati,rajin bayar pajak nih rakyat indonesia bayar menteri wakil menteri utus khusus tunjang rumah dpr makan gizi gratis pokok rakyat peras ppn tapera laksana dana pensiun karyawan swasta nutupin apbn,negatif
Purbaya Yudhi Sadewa,kadang dengar berita berita bingung jatuh,netral
Purbaya Yudhi Sadewa,anakanak turun komunis pki mylai ketarketir hapus dana biaya ganti rugi anakanak turun komunis pki pres pres jokwi prediden cabut kaci delu gembul jan anak ketyrunan komunis pki elo kelompok udah bgga daoat dana golong youtuber nusantara and termul sok tau tembus sandi yudha prabowo,negatif
Sri Mulyani Indrawati,allah selamat indonesia ratu hutang,negatif
Purbaya Yudhi Sadewa,sok mending nggk ngebacot urus dirimuyg penuh dusta bohong,negatif
Sri Mulyani Indrawati,aamiiin,netral
Sri Mulyani Indrawati,mulyani dengar yudhoyono mulyono,negatif
Sri Mulyani Indrawati,kartu koruptor aman tahan takut,negatif
Purbaya Yudhi Sadewa,erick tohir hrs periksa krn jokowi kuasa erick tohir menteri bumnsri mulyani mengundukan pecat krn tkt periksa,negatif
Purbaya Yudhi Sadewa,ekonomi pasar lesu mafia mafia nggak belanja guru,netral
Sri Mulyani Indrawati,ngomong nyerocos pinter bener,negatif
Purbaya Yudhi Sadewa,gembul ternak mulyono yahhh,negatif
Purbaya Yudhi Sadewa,nanya guru gembul cucu pki,negatif
Sri Mulyani Indrawati,mantap sri,positif
Purbaya Yudhi Sadewa,purbaya ganteng,positif
Sri Mulyani Indrawati,pasar uang neng ngasih bunga,negatif
Purbaya Yudhi Sadewa,lihat ekonomi indonesia berantakancontoh demo tentang jabat korub ujung cap pkiwassalam,negatif
Purbaya Yudhi Sadewa,purbaya wapres,positif
Purbaya Yudhi Sadewa,next presiden,positif
Purbaya Yudhi Sadewa,sungguh mulia hati hormat manusia jarang melhat jabat sehat jalan tugas doa baik keluarga jauh buruk lindung allah maha esa,positif
Sri Mulyani Indrawati,biar negara utang lagi sri suruh amrik imf,negatif
Purbaya Yudhi Sadewa,ngelindur,negatif
Sri Mulyani Indrawati,sehat bapa presiden kabibetnya amiiiin doa indonesia maju tangan amiiiin,positif
Sri Mulyani Indrawati,sri muyani bintang sinyal untung rakyat ada sri mulyani kabinet,positif
Purbaya Yudhi Sadewa,geruduk mafia rakyatlogikanya karna ekonomi jdi ancour rakyat cerdassss,negatif
Purbaya Yudhi Sadewa,gembul buzzer,negatif
Sri Mulyani Indrawati,simple orang pinter koq sekitar prabowo menkeu kuat smi koneksi negeri smi anak sayang imf world bank smi politik ekonomi stabil,positif
Sri Mulyani Indrawati,coba cari kualitas,netral
Sri Mulyani Indrawati,menteri suka sengsara rakyat,negatif
Sri Mulyani Indrawati,sripasti muda cantik bgt,positif
Purbaya Yudhi Sadewa,rakyat sensara,negatif
Purbaya Yudhi Sadewa,moga purbaya sehat kuat amin gbu all,positif
Sri Mulyani Indrawati,msh heran jokowi presiden,negatif
Sri Mulyani Indrawati,bikin rakyat sejahtera,positif
Purbaya Yudhi Sadewa,hukum mati koroptor ayo suar,negatif
Sri Mulyani Indrawati,pajak solusi nyekek masyarakatknapa gaji pejabattunjangandll kau cekekserta koruptor kau brantas ,negatif
Sri Mulyani Indrawati,duit nambal apbn gampang pengaruh kolega politik pajak orang kelas tengah instrumen ppn hutang mana gampang gitu repot,negatif
Sri Mulyani Indrawati,periode sby sri mulyani pake beliau jabat bank dunia lupa sejarah,positif
Sri Mulyani Indrawati,menteri pupr basuki tahan prabowo,netral
Purbaya Yudhi Sadewa,moga indonesia bawah beliaubagusbagus nyata beliau naik pajakkarena ekonomi sperti,positif
Purbaya Yudhi Sadewa,menkeu top pokok,positif
Purbaya Yudhi Sadewa,prabowo periode daya beli masyarakat jeblok bikin bangkrut umkm dagang pasar tradisional,negatif
Purbaya Yudhi Sadewa,team purbaya,positif
Purbaya Yudhi Sadewa,mantap menkeu purbaya sosok wakil presiden,positif
Sri Mulyani Indrawati,sri panggil pdhl isu pakai owo krn bbrp beda fakta tdk terjd jeng sri msh panggil menkeu knp slm indo ngutang jerat utang rezim jkw rezim owo jeng sri makelar hutang jeng sri msh owo duga jeng sri adl makelar lmbg kreditur dunia spt imf minjam duit imf bbrp syarat dmn proxynya jeng sri hrs jadi menkeu profil sri anggap hasil krn hutang bunga lbh pasar indo percaya cek brp bunga terima negara banding gila bkn,negatif
Sri Mulyani Indrawati,banyak gimana gajih tunjang pasilitas kantor emang kerja optimal korup menteri kabinet merah putri karna kalo korupsi uang rakyat sedot jabat,negatif
Purbaya Yudhi Sadewa,menkeu bego,negatif
Purbaya Yudhi Sadewa,menteri yng transparan mudah fahami sanggup terobos kaku birokrasi smga indonesia emas cepat,positif
Purbaya Yudhi Sadewa,doa mas menkeu purbaya wapres sekolah jelasjujur jilat pintar pro rakyat humble integritas tdk diragukanwis opo maneh partai dpr coba usaha gesercopot purbayakalian buly tinggal rakyat nusantarasemangat mas menkeu,positif
Purbaya Yudhi Sadewa,mantap purbaya,positif
Sri Mulyani Indrawati,menteri pinter manai pajak,positif
Purbaya Yudhi Sadewa,the next leader,positif
Purbaya Yudhi Sadewa,ayo dukung purbaya kawal sampe kayak ahok nyesel dah demoin ahok,positif
Purbaya Yudhi Sadewa,indonesia orang hebat profesional pura profesional pencitraaan lanjut purbaya pertiwi dukung gebrak keren gebrak kobar matah putih,positif
Sri Mulyani Indrawati,pajak yaa udah pajak makan koruptor bikin rakyat terima rela gue orang benci koruptor,positif
Purbaya Yudhi Sadewa,amran purbaya the best moga jujur jalan tugas nkri sejahtera,positif
Purbaya Yudhi Sadewa,moga allah swt lindung meridhoi purbaya aaamin robbal alamin,positif
Purbaya Yudhi Sadewa,ayo dukung metri uang nkri ajar mui bahlil ompung dpr orgagi satu keuanga nkri mrdeka,positif
Purbaya Yudhi Sadewa,gila jabat,negatif
Purbaya Yudhi Sadewa,percaya iblis tobat drpd percaya pemerintahmau presidenmenterikorup semuakecuali laku hukum mati koruptor legal ampas aset percayaapa malu rakyat konohatuh neraka isi orang konohasegala jahat konohamikiirrngayal bebas korupsi,negatif
Purbaya Yudhi Sadewa,preeet,negatif
Sri Mulyani Indrawati,josss,netral
Purbaya Yudhi Sadewa,mari doa mafia negeri hidayah inayah buat titip aamiin,positif
Sri Mulyani Indrawati,moga nkri sejahteraamandamai aamiin,positif
Sri Mulyani Indrawati,ganti menteri buk astuti,negatif
Purbaya Yudhi Sadewa,sehat purbaya hati musuh selimutkarena bijaksana purbaya pihak rakyatdan hilang bijaksana,positif
Sri Mulyani Indrawati,bikin hutang kuar negri konoha mulyono mulyani,negatif
Purbaya Yudhi Sadewa,hahahaha akyat indonesia bodoh,negatif
Purbaya Yudhi Sadewa,moga pur klrga dlm lindung allah swt orang jujur amanah tuju tuk selamat bangsa insya allah sllu lindung ,positif
Purbaya Yudhi Sadewa,moga purbaya tinjau pajak jual coklat tani pupuk non subsidi racun pajak tani rugi harga coklat turun sulteng,negatif
Sri Mulyani Indrawati,sesuai negara blom sesuai undang undang wajib negara laksana sesuai undang undang nuntut rakyat sesuai undang undang sontoloyo kau sri mulyani bumn topang pajak masyarakat gurus bumn koruopsi mana mana,negatif
Purbaya Yudhi Sadewa,moga purbaya konsisten mskp hadap lawan petinggi korupdan plg support penuh stp langkah menkeu,positif
Purbaya Yudhi Sadewa,sehat upaya baik indonesia indonesia,positif
Purbaya Yudhi Sadewa,analisanya rumah purbaya digerudug warga,negatif
Purbaya Yudhi Sadewa,sdah prabowo bersih bnyak kotor mna sdah indonesia bekerjasama negara eropa,netral
Sri Mulyani Indrawati,sri suka amerika hubung imf,negatif
Sri Mulyani Indrawati,hati hati becanda becanda macem macem korupsi aje kena batu mah,netral
Sri Mulyani Indrawati,srimulyani gampang ajak kongkalikong oligarki gampang ajak ngutang ,negatif
Purbaya Yudhi Sadewa,mafia mapia,negatif
Sri Mulyani Indrawati,ratu ngutang rakyat pajak naikin bayar utang rakyat,negatif
Sri Mulyani Indrawati,gagal sdh mohon tdk tambah jng mmbabi buta,negatif
Purbaya Yudhi Sadewa,menteri gaya santai sopan wibawa,positif
Sri Mulyani Indrawati,indonesia,netral
Sri Mulyani Indrawati,     sumber daya alam sda sumber daya alam sda limpah ruah kaya raya     rakyat via apbn indonesia sumber daya alam pertanyaanpertanyaan sumbang dapat sumber daya alam dapat negara indonesia bps catat terima negara  terima asal     timbul rakyat jelata tetap bodoh pintar biar derita tengok rakyat jibaku sengsara harap indonesia ooosumber daya alam sumber daya alam sda milik rakyat habis digadaicorruptrusakerror rakyat didik iya,negatif
Sri Mulyani Indrawati,laksamana miskin rakyat tinggal kentut pajakin cela cari pajakin pdb indonesia paksa jerat rakyat pajak cari cari cela,negatif
Purbaya Yudhi Sadewa,mafia bisnis ekspor impor iur berkalikali lipat,negatif
Purbaya Yudhi Sadewa,kawal purbaya,positif
Sri Mulyani Indrawati,pikir efek domino ekonomi,netral
Purbaya Yudhi Sadewa,jujur menkeu bijak bare minimum ter bijak defensive naik pajak ppn tukin istimewa kemenkeu mang bijak engga regulasi institusi buruk sosok imam mahdi beres bawa ubah dialakukam kembali bijak bare minimum terobos sayang masyarakat capai bare minimum mang bijak apresiasi capai maslahat rakyat mampu linear jobdesk kerja urgensi berat perintah ketimbang buah bidang usaha korporasi suap nasi,positif
Sri Mulyani Indrawati,perintah pakai saran hemat apbn bbrp jenis keluar tdk desak perintah aku msk resesi ekonomi tanda lbh bln deflasi bps rekayasa data shg bln inflasi nol koma sekian persen,netral
Purbaya Yudhi Sadewa,terima kaseh jokowi restu beliau menteri kelas purrbaya,positif
Purbaya Yudhi Sadewa,moga mafia lenyap indonesiaagar sumber daya alam indonesia nikmat rakyat indonesiamungkin mafia kaya raya ganti rakyat nikmat kaya indonesia ,positif
Purbaya Yudhi Sadewa,masya allah menteri bener humble vibesnya positif banget,positif
Sri Mulyani Indrawati,pajakin teroooosssss efisiensi anggar tinggal naikin pajakkkk,negatif
Sri Mulyani Indrawati,ppn otomatis smua hrga barang bkal bwt klian sring blanaja minimarket sprti alfa indo psti smuax bkal sesungguhx orang sprti mata untk mreka buta buta mata kepalax mata hatix,negatif
Purbaya Yudhi Sadewa,lumayan jeli kang guru gembulselama purbaya tindak senggol penting politik penting selubung prabowopurbaya pertahankankarena prabowo politikus elite tindak sentuh politik kekang titik singgung bijak perintah prabowo sikap tri sendiriselama idealisme purbaya sentuh penting politik prabowo fikir gantimaksud tegas purbaya benah ekonomi smruhan politik penting politik prabowo skarang purbaya lurus lembut bijak,positif
Purbaya Yudhi Sadewa,purbaya kambing hitam gagal,negatif
Purbaya Yudhi Sadewa,tibatiba pakai jam tangan ratus juta miliar,netral
Sri Mulyani Indrawati,senang kabinet merah putih alhamdulillah,positif
Sri Mulyani Indrawati,terus naik pajakkam seglanya sesuai dng hendak kuasa neg puas sengsara rakyat,negatif
Sri Mulyani Indrawati,habis koruptor,negatif
Purbaya Yudhi Sadewa,moga allaah kutuk menteri purbaya kutuk analis analis pojok beliau rakyat dukung purbaya,positif
Sri Mulyani Indrawati,yaaa ngutang,negatif
Purbaya Yudhi Sadewa,suruh demojarah ulah mafia rusuh tertawa layar kuasa,negatif
Sri Mulyani Indrawati,power tends corrupt absolut power absolutly corrupt,negatif
Purbaya Yudhi Sadewa,isyarat purbaya penting jabat kerja bangun negri peduli,positif
Purbaya Yudhi Sadewa,kagum purbaya,positif
Purbaya Yudhi Sadewa,bpkdidoakan rakyat indonesia bpkdilindungi alloh swt juang bpkuntuk rakyat diridhoi alloh,positif
Purbaya Yudhi Sadewa,indonesia negara maju,positif
Sri Mulyani Indrawati,biadab laknat ekonomi daya belihancur waris korupsi hutang pfoyek dungu kbijakan era jokowi bangkrut bngsa rakyat pngusaha pribumi bunuh pajakmematikaninipnghianatan rakyat bngsa mnnagkap koruptor pnyelewengan era jokowi luhutmalah rajyat dibunuhpnghianat bngsa hukum mati,negatif
Purbaya Yudhi Sadewa,aura bener menkeu pedjantan tangguh,positif
Purbaya Yudhi Sadewa,ahy purbaya next presidentn wapres,positif
Purbaya Yudhi Sadewa,mantap maju ters purbaya berani cerdas jujur pikir rkyt,positif
Sri Mulyani Indrawati,mantap,positif
Purbaya Yudhi Sadewa,kejar mafia lari semangat menteri uang kalah maling,positif
Sri Mulyani Indrawati,sandera,negatif
Sri Mulyani Indrawati,sri mulyani tdk bawa sejahtera rakyat,negatif
Purbaya Yudhi Sadewa,apa isi bahagia koruptor tangkap puas koruptor rakus henti makan uang negara pribadi percaya sumpah prabowo bshwa sisa usia rakyat indonesia mensejahtrakannya serah nyaman jalan hasil instan koruptor tangkap tinggal rampas aset hukum mati,negatif
Sri Mulyani Indrawati,kerreeen,positif
Sri Mulyani Indrawati,kali suka liat giat menteri presiden,positif
Purbaya Yudhi Sadewa,purbaya jaim sok wibawa orang gesit sat set mampir bni beliau panggil direksi bni hadap kantor kemenkeu purbaya turun langsung bni moga contoh menteri gercep turun langsung instansi kait bidang jelimet birokrasi hormat,negatif
Sri Mulyani Indrawati,rakyat korban pajak,negatif
Purbaya Yudhi Sadewa,menteri purbaya ,netral
Purbaya Yudhi Sadewa,bicara ttg politik lupa politik jahat sekali,negatif
Sri Mulyani Indrawati,pinter ngomong enak naik pajak utang bajar memaximalkan mampu uang bumbu bumbu ijin ngutang,negatif
Sri Mulyani Indrawati,sri menteri uang dunia  kaya bintang karna jasa bangsa indonesia bukti kerja nyata rasa rakyat indonesia ,positif
Sri Mulyani Indrawati,mantap prabowo lanjut,positif
Purbaya Yudhi Sadewa,alloh lindung purbaya,positif
Purbaya Yudhi Sadewa,bismilah tang purbaya ubah ekonomi nkri pro rakyat,positif
Purbaya Yudhi Sadewa,kepala ekor kuropsi uang negara rakyatdanatara lubok besar kuropsi kepala negara lihat danatara menteri amanah klu menteri amanah merdeka indonesia majubenar danatara bikintapi hasil bumi indonesia pajak rakyat habis bangun negaramasa jokowi bangun indonesia nampak bangunjelas biaya jokowi bangun nyaklu uang hasil pajak kurupsi memteri jokowi uang jokowi bangun indonesia mcm prubaya perihal menteri dpr prubaya lantang suara sri muliyani puluh menteri adabukan menteri dpr risemua kuropsikita lihat nti prubaya menteri dlm dpr prubaya pusing kepala pikir mcm sri muliyani mikir,negatif
Sri Mulyani Indrawati,pajak gila,negatif
Sri Mulyani Indrawati,negeri kanoha ngk kasih pangkat gelar,negatif
Sri Mulyani Indrawati,mantap bos,positif
Sri Mulyani Indrawati,mantap sama,positif
Purbaya Yudhi Sadewa,sok tau njing manusia kontribusi prestasi bisa jdi tukang fitnah provokator cipta opini negatif publik kondisi tuju destruktif perintah negara,negatif
Sri Mulyani Indrawati,kawal badan intelejen uang,netral
Sri Mulyani Indrawati,tuju menteri uang perempuan non muslim pajak peduli rakyat,positif
Purbaya Yudhi Sadewa,oligarki mafia preman sulit berantas butuh kuasa kali tuju guru,negatif
Sri Mulyani Indrawati,sri mulyani wanita hebat milik indonesia lepas orang suka fakta atur uang negara jalan relatif aman sri mulyani jabat beliau tokoh ecek kemarin sore kelas sri mulyani internasional kelas bendahara desa,positif
Purbaya Yudhi Sadewa,dampak dagang,netral
Sri Mulyani Indrawati,dukung pjbt negara pjbt swasta oke bekal militermininal disiplin dlm kerja,netral
Purbaya Yudhi Sadewa,lngsung tuhh ngmng emng bayar utang sgini orang korupsi mas gede utang apa anjiir panntes ferry latuhihin bilang waras orang wkwkwkwkwk,negatif
Sri Mulyani Indrawati,ekonomi hancurmalah pilih,negatif
Purbaya Yudhi Sadewa,kue pancing korup bersih koruptor lancar situ siap jebak dapat bukti,negatif
Sri Mulyani Indrawati,adopsi presiden soekarno sipil kasih pakai pangkat militer,netral
Sri Mulyani Indrawati,udah menteri uang bilang calon menteri,netral
Sri Mulyani Indrawati,berat susah cari uang berat rakyat mana hasil pajak kena pajak makan minum dll pikir,negatif
Purbaya Yudhi Sadewa,itulahmafia melsnggengkan usaha rampok butuh kerja orang sogok,negatif
Sri Mulyani Indrawati,mohon perhati gaji umr buruh kasar lapang minimal gaji umr buruh kasar umr sekian terima kasih kpda bpk president prabowo nkri negara indonesia kami,netral
Sri Mulyani Indrawati,srimulyani angkat menku beliau rahasia uang negara perintah,positif
Sri Mulyani Indrawati,kembali rakyat puyeng,negatif
Purbaya Yudhi Sadewa,pikir khayal pribadi tahu intelektual dasar alam ilmiah,netral
Sri Mulyani Indrawati,suruh tanggung bayar debt,negatif
Purbaya Yudhi Sadewa,skenario check and balancing ala prabowo,netral
Sri Mulyani Indrawati,kalo alm rizal ramli spg bank dunia world bank prabowo menteri cetak utang,netral
Sri Mulyani Indrawati,blm layak naik ppn buka lowong kerja dlu bykspy byk pengangguranbinasakan dlu koruptorstelah ppnekonomi susah rampok byk negara rampok rakyatbenar edan,negatif
Purbaya Yudhi Sadewa,coba dengar dongeng gembul,negatif
Sri Mulyani Indrawati,mantappppp ,positif
Sri Mulyani Indrawati,bbm ongkir harga harga emosi,negatif
Purbaya Yudhi Sadewa,ada birokrat rangkap mafia,negatif
Sri Mulyani Indrawati,tanda akn tegak kedisplinan hukum tdk pndang bulu,positif
Purbaya Yudhi Sadewa,bagus sok tau ngedahuluin tuhan liat dlu depan skeptis ahh,negatif
Sri Mulyani Indrawati,sri mulyani bintang laksamana economy strategi indonesia,positif
Purbaya Yudhi Sadewa,lihat hasil nanti,netral
Sri Mulyani Indrawati,presiden top jaim wibawa jaga,positif
Sri Mulyani Indrawati,sri mulyani pmbohong krn mnutupi kejahata korupsi proyek kbijakan hutang era jokowi bngkrut apbn bumn tpi mncari alas mngejar pngusaha pribumi rakyat pajak mati pnghianataan rakyatpnghianat hukum mati,negatif
Purbaya Yudhi Sadewa,masuk akal,netral
Sri Mulyani Indrawati,sri mulyani ibuk cerdas idola,positif
Purbaya Yudhi Sadewa,fitnah,negatif
Purbaya Yudhi Sadewa,takut bawa meja gepok uang siaapkan mantaps,negatif
Sri Mulyani Indrawati,semangat,positif
Purbaya Yudhi Sadewa,sri mulyani,netral
Purbaya Yudhi Sadewa,moga kang guru karungin,netral
Purbaya Yudhi Sadewa,ayo rame rame alih listrik subsidi bbm isap apbn besar kembang potensi nikel indonesia mumpung main ngumpul pertamina kabeh,netral
Sri Mulyani Indrawati,kalang militer menang pilpres bangga harucoba anda menang sipil blom inipenting calon presiden depan kalang militer,netral
Purbaya Yudhi Sadewa,klau partai anggota jerat korupsi pro bubar,negatif
Purbaya Yudhi Sadewa,boro menang purbaya kalo racun kaya munir kasus gantung,negatif
Sri Mulyani Indrawati,sesuai dng prestasi mulyani,positif
Sri Mulyani Indrawati,lihat perintah prabowo fresh ,netral
Sri Mulyani Indrawati,mantap ,positif
Sri Mulyani Indrawati, dunia uang panglima sri,positif
Purbaya Yudhi Sadewa,lil bahlil musuh,negatif
Purbaya Yudhi Sadewa,mafia migas pantes bahllol geser,negatif
Purbaya Yudhi Sadewa,skenario perintah,negatif
Sri Mulyani Indrawati,zaman saddam husein menteri wajib pakai militer,netral
Purbaya Yudhi Sadewa,geledah rumah giring opini buzer,netral
Sri Mulyani Indrawati,selamat karya prabowo tim lanjut mimpi indonesia emas,positif
Purbaya Yudhi Sadewa,isu pelihara sperti ijazah jokowi polemik pelihara biar fokus media sorot publik situ melulu sperti strategi alih perhati,negatif
Purbaya Yudhi Sadewa,tau the real mafia bahlul simbah luhut nenek mega,negatif
Sri Mulyani Indrawati,presiden prabowo keren cerdas luarbiasatapi baik srimulyani uang aman nyaman nkri,positif
Sri Mulyani Indrawati,alhamdulillah sri lanjut menkeu  sehat,positif
Sri Mulyani Indrawati,menteri kaya raya kerja tuk rakyat,positif
Purbaya Yudhi Sadewa,presiden laen cerdik banget kalo mimpin kek cina maju dukung,netral
Sri Mulyani Indrawati,sri mulyani klw kasih langsung bintang,positif
Sri Mulyani Indrawati,naik persen biar jabat makmur rakyat sengsara,positif
Sri Mulyani Indrawati,bubisa jabat potong pajak persenbiar makmur negara rakyat sejahtera khusus jabat pajak hasil terima kasih,positif
Sri Mulyani Indrawati,pprabowo hebat kembali marwah abri,positif
Purbaya Yudhi Sadewa,kalo masuk akal fair nonton,netral
Sri Mulyani Indrawati,srimulyani,netral
Purbaya Yudhi Sadewa,pnting fungsi,netral
Purbaya Yudhi Sadewa,tidak puas rakyat sasar jokowi kelompok,netral
Sri Mulyani Indrawati,menteri presiden prabowo gibran bangun nkri rakyat sukses ,positif
Sri Mulyani Indrawati,top pokok prabowo,positif
Purbaya Yudhi Sadewa,point masyarakat bodoh provokator bikin aman nasional ngga stabil,netral
Sri Mulyani Indrawati,bintang bintang kasih,netral
Sri Mulyani Indrawati,sri mulyani tua cantik,positif
Sri Mulyani Indrawati,bakal,netral
Purbaya Yudhi Sadewa,penting diakomodir kuasa wni bangsa asing,netral
Sri Mulyani Indrawati,mantap ibu,positif
Purbaya Yudhi Sadewa,beban rakyat hasil sita koruptor bayar utang uang sita lari mana,netral
Sri Mulyani Indrawati,mantab menteri seragam tni ,netral
Purbaya Yudhi Sadewa,nggk ngerti kesini nggk podcast bedah politik ampe prediksi politik kayak dukun politik mending bahas sejarah budaya perilaku budaya,netral
Purbaya Yudhi Sadewa,menkeu knp ganti,netral
Sri Mulyani Indrawati,dekat atas bawah,netral
Sri Mulyani Indrawati,simple sri pintar bidang prabowo realisasi percaya orang renovasi anggar,positif
Sri Mulyani Indrawati,mantaabkedekatan presiden menteri penuh candasemoga bangsa negara penuh amanah,positif
Sri Mulyani Indrawati,menteri uang pro ama rakyat pro kuasa,netral
Sri Mulyani Indrawati,tunggu hasil kerja ,netral
Purbaya Yudhi Sadewa,demo dukung menkiu bijak rakyat purbayammd allaah menjg purbayaaamiin,netral
Purbaya Yudhi Sadewa,menteri lengser fomo pola pikir kolot aki dont judge book the cover,netral
