subjek,final_text,label
Sri Mulyani Indrawati,presiden prabowo keren cerdas luarbiasatapi baik srimulyani uang aman nyaman nkri,positif
Purbaya Yudhi Sadewa,ditakutin mafia asing biokrat indo yah sampe kalah pilpres benci jokowi krn beliau tau hny naik brani sep,negatif
Purbaya Yudhi Sadewa,mantaff kreen pis mugia amanah purbaya,positif
Sri Mulyani Indrawati,hutang tingkat pajak tingkat special skill,negatif
Sri Mulyani Indrawati,mantap bener jozzz konoha mang top,positif
Sri Mulyani Indrawati,semangat,positif
Purbaya Yudhi Sadewa,top purbaya top rakyat top dukung,positif
Purbaya Yudhi Sadewa,lumayan jeli kang guru gembulselama purbaya tindak senggol penting politik penting selubung prabowopurbaya pertahankankarena prabowo politikus elite tindak sentuh politik kekang titik singgung bijak perintah prabowo sikap tri sendiriselama idealisme purbaya sentuh penting politik prabowo fikir gantimaksud tegas purbaya benah ekonomi smruhan politik penting politik prabowo skarang purbaya lurus lembut bijak,positif
Sri Mulyani Indrawati,uud rubah dalih uud lucu taktik licik cari celah uud negara sengsara rakyat rampok negara mantap akallan rusak negara,negatif
Sri Mulyani Indrawati,menteri era jkw tugas raka tau rahasia istana era jkw lepas susah,netral
Purbaya Yudhi Sadewa,demo dukung menkiu bijak rakyat purbayammd allaah menjg purbayaaamiin,positif
Sri Mulyani Indrawati,pajakin teroooosssss efisiensi anggar tinggal naikin pajakkkk,negatif
Sri Mulyani Indrawati,masyarakat indonesia udah kaya raya investasi masuk indo tingkat ,netral
Purbaya Yudhi Sadewa,moga pur klrga dlm lindung allah swt orang jujur amanah tuju tuk selamat bangsa insya allah sllu lindung ,positif
Sri Mulyani Indrawati,perintah malakin rakyat pajaknaikin cukupkarena negeri korupsi subur,negatif
Purbaya Yudhi Sadewa,zaman prabowo keren cuman sayang hargo singkong anjlok parah potong gede tani singkong ancur zaman impor tapioka jalan kuota import full,positif
Sri Mulyani Indrawati,turun sri mulyani kau udah kacau optimis perintah kayak gin,negatif
Sri Mulyani Indrawati,sri mulyani kalo ngoceh suka kepinteran sesuai sesuai daya beli rakyat kalo apa dipajakin tarif dinaikin jaga sehat apbn bikin sakit kantong rakyat mblewer,negatif
Sri Mulyani Indrawati,usaha beban pajak negara abis pph cekik,negatif
Sri Mulyani Indrawati,biadab laknat ekonomi daya belihancur waris korupsi hutang pfoyek dungu kbijakan era jokowi bangkrut bngsa rakyat pngusaha pribumi bunuh pajakmematikaninipnghianatan rakyat bngsa mnnagkap koruptor pnyelewengan era jokowi luhutmalah rajyat dibunuhpnghianat bngsa hukum mati,negatif
Purbaya Yudhi Sadewa,prabowo presiden cerdaswakilnya cerdas,positif
Sri Mulyani Indrawati,sri mulyani yth sesal ekonomi negara leau datang jangan rakyat sengsara pajak pph udah tambah ppn naik biaya produksi tinggi ppn tambah sengsara lindung uu uu ayom rakyat menhisap darah rakyat tax ratio naik lah jangan merta enteng naik ppn jabat seh enak tinggal naik pajak lha rakyat gimana korupsi berantas enteng putus naik pajak anak muda pindah kewarganegaraan deh,negatif
Sri Mulyani Indrawati,pajak negara dislewengkan tengah jalan,negatif
Purbaya Yudhi Sadewa,ngelindur,netral
Purbaya Yudhi Sadewa,masyarakat bijak klu jabat pro rakyat jujur warga masyarakat tamen benteng klual kelompok kelompok jatuh tdk klu masyarakat satu,positif
Sri Mulyani Indrawati,pajak bumn dapur negara korupsi rugi terusssss peras rakyat tegah bawah pajak,negatif
Purbaya Yudhi Sadewa,menteri purbaya hebat,positif
Sri Mulyani Indrawati,menteri ahli naikin pajak cari sumber pajak gue kerja gitu doang,negatif
Purbaya Yudhi Sadewa,bijak koboy keren mata rakyat,positif
Sri Mulyani Indrawati,blm layak naik ppn buka lowong kerja dlu bykspy byk pengangguranbinasakan dlu koruptorstelah ppnekonomi susah rampok byk negara rampok rakyatbenar edan,negatif
Sri Mulyani Indrawati,abis berkasuslangsung suruh kabur imf,netral
Purbaya Yudhi Sadewa,suka gebrak purbaya,netral
Purbaya Yudhi Sadewa,senoga urus orng indonesia lbih tlah matang kuat smudah gagal mafia jahat rusak kesejahteraaan rakyat indonesia aminn aminn aminnn,negatif
Purbaya Yudhi Sadewa,mana mafia jahat licik akal bulus birokrat abdi masyarakat rakyat bawa arus mafia cari uang samping ngurus susah birokrat rangkap biro jasa ilegalsegala urus uang lancar salah menang kalah perkara hukum,negatif
Sri Mulyani Indrawati,dukung ,positif
Purbaya Yudhi Sadewa,presiden prabowonya mafia,netral
Purbaya Yudhi Sadewa,apbn pajak sumber daya alam nusantara nggak heran rakyat sengsara peras kuasa kuasa pesta pora dana sumber alam gila banget moga byk sadar,negatif
Sri Mulyani Indrawati,hancur negara hutang tuju,negatif
Purbaya Yudhi Sadewa,weh gembul komennya omdo,netral
Purbaya Yudhi Sadewa,bni bnyak mafia tmn dana situ salahgunakan moga ganti menteri uang trbuka dana tmn yng blok bni kasihan rakyat hasil jerih payah sulit puluh moga sadar hai orang dzolim,netral
Sri Mulyani Indrawati,gelagat mundur kelola pajak repot rakyat usaha pintar dalih uud sejahtera rakyat uud sentuh dar alat,negatif
Sri Mulyani Indrawati,naikin akibat utang beban apbn dibebasin usaha masyarakat peras sri bicara orang kena naik ppn,negatif
Purbaya Yudhi Sadewa,hambat berantas semangat purbaya bumn kasih contohjd pelopor rakyat dah bosen denger alas bumn slalu rugi,positif
Sri Mulyani Indrawati,jaga apbn pajak trus belanja negara korupsi gimana trus uang masuk negara hilang jalan gimana trus jabat negara korup gimana negara hancur perintah bobrokbukan rakyat perintah cermin rakyat,negatif
Sri Mulyani Indrawati,bintang sudaherugikan negara puluh trilyun keluar dana talang bank century juara dunia utang negeri bunga besar imf juara untung imf rugi rakyat bayar utang turun bayar bunga dipajakin bayar bunga,negatif
Sri Mulyani Indrawati,nyindir orang melati juang dekat,netral
Sri Mulyani Indrawati,badan usaha kena pajak mending kena ppn bayar imbang pajak keluar masyarakat kena dampak produk beban margin ppn konsumen dipake kalo persen konsumsi kena pajak bayar spt tahun tolong benah eksekusi pajak lapang naikin pajak,negatif
Purbaya Yudhi Sadewa,pakgembul tanyain kepadaanda ngapain nyasar prabowo menteri masalah dpr dll ijazah palsu dll prabowo takut rena jokowi menang milu,negatif
Sri Mulyani Indrawati,hrs koment sri mul,netral
Purbaya Yudhi Sadewa,mantap boss,positif
Purbaya Yudhi Sadewa,moga baca komen sayabukan karna prabowo ahlitapi gaduh politik tuju prabowotapi jokowikarna lawan politik anggap prabowo habismasa saing mengancamknp serang jokowikarna sadar jago lawa jokowi menangmakanya mati berusahmenjatuhkan nama jokowi,negatif
Sri Mulyani Indrawati,sri cantik resin bawah bnyaka bawahnmu kurupsi coba turun bawah usaha nunggak pajak sbapnya pegawe sogok perushaan blm byr pjk pdhl yhn bayar coba cnti turun kya jokowi pntau tunggak pajak klu negara bkln utang rena slma trima lapor bawah lihat lokasi lngsung bawah hidup gelimpang harta curi golongn nol hidup mewah pegawe pjk pegawe beacukai glongn pling rendah hidu mewah uang bawah contoh jokowi turun lngsung kbwah jngan abs snang,negatif
Purbaya Yudhi Sadewa,menteri sepuh ngganteng kharismatik pinterjd harap rakyat bijak ringan rakyat,positif
Purbaya Yudhi Sadewa,pinter pinter gembul ramal tembus,netral
Purbaya Yudhi Sadewa,menkeu cerdas nih,positif
Purbaya Yudhi Sadewa,punten guru alhamdulillah muncul putra sunda galuh pajajaran kdm purbaya jiwa prabu wangi lingga buana berani mati tragedi bubat tegak diri negara daulat arah bijak bangun prabu siliwangi nisakala wastu kancana prabu siliwangi sri baduga maharaja rakyat gemah ripah repeh rapih,positif
Sri Mulyani Indrawati,     sumber daya alam sda sumber daya alam sda limpah ruah kaya raya     rakyat via apbn indonesia sumber daya alam pertanyaanpertanyaan sumbang dapat sumber daya alam dapat negara indonesia bps catat terima negara  terima asal     timbul rakyat jelata tetap bodoh pintar biar derita tengok rakyat jibaku sengsara harap indonesia ooosumber daya alam sumber daya alam sda milik rakyat habis digadaicorruptrusakerror rakyat didik iya,negatif
Purbaya Yudhi Sadewa,mantap sidak bripara teller kerja lambat proporsional,positif
Purbaya Yudhi Sadewa,rakyat indonesia mari kompak dukung purbaya segenap kuat doa,positif
Sri Mulyani Indrawati,hebat prabowo subianto djojohadikusumo presiden didik menteri disiplin militer semangat penuh energi jalan tugas negara ,positif
Sri Mulyani Indrawati,top pokok prabowo,positif
Sri Mulyani Indrawati,gagal sdh mohon tdk tambah jng mmbabi buta,negatif
Sri Mulyani Indrawati, semua,netral
Purbaya Yudhi Sadewa,lngsung tuhh ngmng emng bayar utang sgini orang korupsi mas gede utang apa anjiir panntes ferry latuhihin bilang waras orang wkwkwkwkwk,negatif
Sri Mulyani Indrawati,prabowo bedah mantap,positif
Sri Mulyani Indrawati,pajak naik ttpi rakyat mesti pikir peluang pkerjaan rata koruptor jdi bsa henti tdk tdk bsa naik ppn,negatif
Sri Mulyani Indrawati,ide brilian menkeu bantu intelijen uang biar oknum jabat negara pusat daerah ngkk main anggar negara korupsi kaya pribadi kelompok golong selamx uang rakyat ratus ribu triliun uang rakyat rampok oknum jahat das sektor,negatif
Purbaya Yudhi Sadewa,judul klik bait banget,netral
Purbaya Yudhi Sadewa,mafia tumbang ratus lahir tanah subur korupsi gus dur negeri takut berani hukum salah salah duduk lingkar kuasa,negatif
Purbaya Yudhi Sadewa,coba logika asumsisementara menkeu pakai data dlm jalan tugassegala usaha resiko browwjokowi ambil resiko iknkereta cepat ide hitung diam protes sok cerdas data analisa cukup konten sibuk urus kementrianorg kerja ganggu brooooww,positif
Purbaya Yudhi Sadewa,terus menteri rakyatmendoakan engkau nyata mausidak memggambarkan bersih jujurkita butuh,positif
Purbaya Yudhi Sadewa,guru gembul hebatsalut,positif
Purbaya Yudhi Sadewa,anda orang kabinet tri purbaya indonesia maju sejahtera kerja nyata bangsa negara mantap kaleng,positif
Sri Mulyani Indrawati,prabowo punyak rencana maju negara percaya atur prabowo,positif
Sri Mulyani Indrawati,kas kosong tpi rakyat donk dibebanikurangi gaji jabat woi stop pelesir abal guna,netral
Purbaya Yudhi Sadewa,khawatir nasib kayak ahok saking semangat tegak benar singkir mudah suka tegas beliau,positif
Purbaya Yudhi Sadewa,purbaya pikir kaya pikir rakyat yng mulya jalan amanah tuhan orang yng surga tempatnyaaamiin,positif
Purbaya Yudhi Sadewa,humbel,netral
Sri Mulyani Indrawati,rakyat indonesia susah pajak ppn dampak susah rakyat butuh hidup naik rakyat butuh ikntidak butuh kabinet gemoy boros rakyat indonesia bodoh omon tendang nanti,negatif
Purbaya Yudhi Sadewa,bismillahirrahmanirrahim moga allaah bimbing tunjuk beliau amanah jalan tugas tingkat ekonomi masyarakat man jadda wajadda,positif
Purbaya Yudhi Sadewa,jelasdong purbaya orang bijak humoris terus juang pur tuhan serta biar anjing gonggong kafilah jalan hirau cerca tuju pur mulia memverbaikisistim uang negeri carut marut gerogot tikus das mohon introspeksi salam waras,positif
Sri Mulyani Indrawati,menteri specialis utang pajak ganti,negatif
Sri Mulyani Indrawati,pajak rakyat melarat aman keluarga lapar,negatif
Purbaya Yudhi Sadewa,kerenlgs kikuk hahamantab mentrimmg hrsnya spt ituga dikit kursi vip,positif
Purbaya Yudhi Sadewa,allah lindung orang orang negara jauh orang dholim moga pimpin amanah indonesia terang benderang biar rakyat tenang aman selamat jalan tugas pur,positif
Sri Mulyani Indrawati,terus naik pajakkam seglanya sesuai dng hendak kuasa neg puas sengsara rakyat,negatif
Purbaya Yudhi Sadewa,beban rakyat hasil sita koruptor bayar utang uang sita lari mana,negatif
Purbaya Yudhi Sadewa,andai andai menteri kabinet pur indonesia maju sejahtera,positif
Sri Mulyani Indrawati,bisa pajak utang bank dunia makelar bpr dunia,negatif
Purbaya Yudhi Sadewa,presiden laen cerdik banget kalo mimpin kek cina maju dukung,positif
Sri Mulyani Indrawati,ada giat,netral
Sri Mulyani Indrawati,naik pajak biar rakyat bantu negara,negatif
Sri Mulyani Indrawati,ppn genjot rakyat tdk bayarkrn daya beli rendah bunuh pelan,netral
Sri Mulyani Indrawati,ratu ngutang rakyat pajak naikin bayar utang rakyat,negatif
Purbaya Yudhi Sadewa,mantap maju ters purbaya berani cerdas jujur pikir rkyt,positif
Sri Mulyani Indrawati,laksamana uang republik indonesia semangat sukses laksana negara indonesia cinta ,positif
Purbaya Yudhi Sadewa,keren menkeu,positif
Purbaya Yudhi Sadewa,smoga bpk dlindungi allah swtsenang liat aura wajah bpkbpk orang amanah,positif
Sri Mulyani Indrawati,assalamualaikum mundur mundur mundurbu saudara gagal malu mundur mundur bisa naik pajak utang utang utang dasar ratu utang utang,negatif
Sri Mulyani Indrawati,jokowi tarik srimuliani karna kerja bank dunia karna nasib bangsa pimpin orng begok liat jabat ngutang naikin pajak naikin hrg bbm,negatif
Purbaya Yudhi Sadewa,bilang purbaya menteri kutuk orang jahat karna orang suka purbaya takut bongkar,negatif
Purbaya Yudhi Sadewa,guru gembul pengkianat,netral
Purbaya Yudhi Sadewa,rsjyat dukung adil,positif
Purbaya Yudhi Sadewa,tuju dapat guru gembul cerdas rakyat tipu politik citra lihat penuh darah,positif
Purbaya Yudhi Sadewa,juta duduk indonesia turun menepalkan indonesia kalo sampe purbaya lengser,negatif
Sri Mulyani Indrawati,wkwkwkwk orang pinter konoha nyusahin rakyat sda limpah rakyat cekak pajak kejar pajak,negatif
Purbaya Yudhi Sadewa,itulahmafia akar mana manamedia kuasaipendidikan jugapokok dilumpuhkanmaka orang bersih jujur jokowi nga buat banyaksebab mui bulum nyata uang korupsi haram,positif
Purbaya Yudhi Sadewa,indonesia maju rukun damai sejahtera kuat dlm sgala sektor dengar solusi nyakritik gampangsolusi mbul,positif
Sri Mulyani Indrawati,sri mulyani ibuk cerdas idola,positif
Sri Mulyani Indrawati,ngutang jerat rakyat pajak,negatif
Sri Mulyani Indrawati,gara sdm gorong pajak udh dinaikin,negatif
Purbaya Yudhi Sadewa,rakyat indonesia dukung bijak menkeu purbaya,positif
Purbaya Yudhi Sadewa,neng menteri fuul senyum,netral
Sri Mulyani Indrawati,nama pajak ganti dng umpet serius nanya,negatif
Purbaya Yudhi Sadewa,keep your friend close and your enemies closer rakyat perhati konflik jatuh pegang kuasa tawar kuasa konflik mohon cerdas bijaksana tampak muka sadis berahaya bangsa,positif
Purbaya Yudhi Sadewa,harap ubah system pajak kendara masuk akal mana pajak tahun nominal gede banget dibandingin harga motor pajak tahun kadang harga motor uda turun masuk akal,negatif
Purbaya Yudhi Sadewa,guru guru pikir masalah iyaa masalah main peran hebatny jelas guru awam mudah erti hilang inti cerdas mafia hrs ekstra mikir lgi mantap guru sehat allah meridhoi amin,positif
Sri Mulyani Indrawati,kcic bengkak cost overrun smp wika kelojot menteri bumn taubs ngitung ikn non budgeter apbn smp feasible apbn bocor menteri uang taubs ngitung kcic ikn hasil hutang beban future apbn pajak rakyat menkeu tau emg peduli pinter moral nmnya pinter ngibol,negatif
Purbaya Yudhi Sadewa,nilai purbaya coba framing bhw pahlawan ekonomi krisis narasi singkat sby hebat jkowi nunggu depan gawang kalo tumbuh kelak atas oleh pjkowi kasih jempol,positif
Sri Mulyani Indrawati,orng menkeu maen set ngutang mulu kpn tega hukum kmenkue korupsi,negatif
Purbaya Yudhi Sadewa,thun peras naik pajakkkk cekik rakyat ganti purbaya mnjadi kemenkeu moga rakyat mnjadi bhagia,negatif
Sri Mulyani Indrawati,pinter ngomong enak naik pajak utang bajar memaximalkan mampu uang bumbu bumbu ijin ngutang,negatif
Sri Mulyani Indrawati,keren cantik sri pakai militer,positif
Sri Mulyani Indrawati,sri enak naikin pajak trus susah rakyat menteri enak listrik byr air byr rmh mobil rakyat susah belanja pajak mati,negatif
Sri Mulyani Indrawati,ppn tdk henti naik ppnnegara rampok rakyatapa negara rakyat rakyat negaranegara hitungjangan penting gelintir orgrakyat lindas krn pajak terusallah tolong libas orang sholim negara initolong allah,negatif
Purbaya Yudhi Sadewa,indonesia kepung koruptor alloh kuat indonesia,netral
Purbaya Yudhi Sadewa,analisa guru gembul emang berkelasssss,netral
Purbaya Yudhi Sadewa,keren,positif
Sri Mulyani Indrawati,iya kaya jabat sesuai emang moga allah balas buat keruk pajak,negatif
Sri Mulyani Indrawati,bagus bintang bintang,positif
Sri Mulyani Indrawati,mantap ibuslma doa sehat slludan semangat ibumakasih uda indonesia depan menteri tdk tergantukantuhan jaga lindung,positif
Sri Mulyani Indrawati,antek korupsi uang pajak ,negatif
Purbaya Yudhi Sadewa,purbaya maju rakyat indonesia raya sabang merauke dukung  dengerin pki gaya hidup purbaya presiden prabowo subianto ,positif
Sri Mulyani Indrawati,ingat pejabatingat bagisiiapapun bijak sengsara rakyar bnyk juta doa orang miskin orang flm sulit ekonomi jabat bijak dzolim rusak bawa derita rakyat bnyk ingatakan karma balas orang iman janganlhmelampau batas kebijakanini menaikkn harga barang dapat rakyat,negatif
Sri Mulyani Indrawati,laksamana miskin rakyat tinggal kentut pajakin cela cari pajakin pdb indonesia paksa jerat rakyat pajak cari cari cela,negatif
Sri Mulyani Indrawati,sikap keluarga jadi menteri tanggung tugas moga amanah aaamiiiiin,positif
Sri Mulyani Indrawati,lsesusi undang namunvtdk sesuai kondisi mampu ekonomi rakyat indonesia ppn gaji bawah dama,netral
Sri Mulyani Indrawati,biaya pensiun gaji menteri beban kas negara bayang jaman soeharto sampe skrg msh byk mantan jabat anggota parlemen msh dana pensiun brp taun cba publik brp nominal keluar kas negara dana pensiun alhasil negara butuh uang bayar dana rakyat cekik pajak sektor,negatif
Purbaya Yudhi Sadewa,mohon maaf nilai beda perintah jokowi prabowo signifikan jajar perintah jokowi bicara kerja nyata sesuai tugas kewajibanl perintah bicara tugas bicara kiyai guru humas perintah ceramah media reporter bakul jamu komentator saya,positif
Purbaya Yudhi Sadewa,ahok sbenrnya cerdas jujurmaknya bnyak mafia mnjebloskan ahok,positif
Sri Mulyani Indrawati,kerja oii udahh laper rakyat,netral
Sri Mulyani Indrawati,yak dasar manusia makhluk sosial stop fanatik orang kritisi jabat lenceng dukung,positif
Purbaya Yudhi Sadewa,dukung prabowo bpk seorng pahlawan,positif
Sri Mulyani Indrawati,koq yaaharusnya turunin,negatif
Sri Mulyani Indrawati,naekkan buk menteri masarakat sengsara biar podo tres jabat biar korupsi tambah,negatif
Sri Mulyani Indrawati,prabowo subianto mrs sri mulyani  indonesia butuh profesional jujur love pertiwi,positif
Sri Mulyani Indrawati,duit nambal apbn gampang pengaruh kolega politik pajak orang kelas tengah instrumen ppn hutang mana gampang gitu repot,negatif
Sri Mulyani Indrawati,pilih hidup miskin subsidi ketimbang kaya bayar pajak usaha kerja keras ujung ujung bayar pajak emang hidup bayar pajak mending hidup santai miskin,negatif
Purbaya Yudhi Sadewa,salut beliau muncul menteri menteri jujur moga lindung allahsaya percaya beliau cerah indonesia,positif
Sri Mulyani Indrawati,masalah sesuai sesuai mampu rakyat naik pajak dasar ratu ngutang ratu naik pajak mundur tolak menteri sempat orang depan anak bangsa muda,negatif
Purbaya Yudhi Sadewa,hebat nih menkeumuter nyalamin lochbiasanya bawah maju nyalaminini kebaliksehat menkeu,positif
Sri Mulyani Indrawati,pegawai negara kerja enak enak sajanegara dana tinggal naik pajakserap anggar timbal masarakat sendirimasarakat milik aset negara initetapi aset pribadi investor cari cari negrikenapa investor masarakat sendiriakan untung menjanjikanbukan pajak pungut masarakat keuntunganmasarakat ratus prusahaan prusahaan negara untung masarakat buka uang rakyat pungut timbal balik masarakatsebenar masarakat indonesia miskin sistem negara sendirijika perintah rakyat rakyat hidup jah tera,negatif
Purbaya Yudhi Sadewa,apasih,netral
Sri Mulyani Indrawati,rakyat cape kena pajak makmur pegawai kantor pajak rakyat kompensasi tua negeri lulus negri,negatif
Purbaya Yudhi Sadewa,prabowo sentuh apa always jokowi,netral
Purbaya Yudhi Sadewa,moga alloh swt kuat istiqomah orang jujur amanah pro rakyat berat musuh selimut rela nyaman hidup mungkar usik,positif
Purbaya Yudhi Sadewa,prediksi agenda rencana buruk rakyat indonesia gagal hancur balik rencana aamiin,negatif
Purbaya Yudhi Sadewa,mantap menteri uang,positif
Purbaya Yudhi Sadewa,bang bahas rencana relokasi warga tntn riau pelalawan bang rame kayak viral masyarakat tolak relokasi perintah satgas pkhtni keluar bijak relokasi sisi dpr komisi xiii tolak relokask warga demo besar jiwa demo juli disni kompleks bingung salah,positif
Purbaya Yudhi Sadewa,marie muhammad,netral
Purbaya Yudhi Sadewa,klu tuju rakyat setujudan prabowo subianto kerja rakyat terus juang prabowo subianto bangga dukung penuh juang,positif
Sri Mulyani Indrawati,naikin pajak gaji asn,negatif
Sri Mulyani Indrawati,manusia biadab penghisap rakyat agen imf korupsi resin tmsk depkeu kabar korupsi rakyat dinaikin pajak gitu,negatif
Purbaya Yudhi Sadewa,kritik perintah ngoceh doang coba masuk jabat trus buktiin hebat kritik agama islam pesantren hati asuh sanggup trus kritik kontribusi nyata lapang biar manfaat omon belakang tok penting hasil konten pribadi,positif
Purbaya Yudhi Sadewa,semangat purbaya,positif
Purbaya Yudhi Sadewa,nrocos bergenti ujung pangkal,netral
Sri Mulyani Indrawati,tuju kasih sri mulyani bintan gerak indonesia mahu,netral
Purbaya Yudhi Sadewa,mbg program rakyat bagus ide mbg awas mana orang buat tetep afa orang khianat bravo presiden,positif
Purbaya Yudhi Sadewa,gaul menteri tar bukti bhw hasil kerja sukses mantul keren lhaa lbh bagus mantan menkeu abadi dahulu ha,positif
Purbaya Yudhi Sadewa,bijak pro rakyat dukung,positif
Sri Mulyani Indrawati,bagus duh sreg bbrp dikit moga drill poles prabowoatau buang,positif
Sri Mulyani Indrawati,meding bintang ajah,netral
Sri Mulyani Indrawati,naikin pajak biar bayar utangyang ngutang leha leha rumah rakyat kena imbasnyamemang sri pintar ngomong,negatif
Purbaya Yudhi Sadewa,negara selamat kan moga bawaahannya amanah jujur lindung aamin,positif
Purbaya Yudhi Sadewa,emng bgtu betapa berat menkeu mngkin kasar betapa pening palany uda suruh cari uang msih dipalakin pulakk diuturutin ancam sanasini pantes heran uda mundur cmn ganti siap tingteng presiden pantes goksss,negatif
Purbaya Yudhi Sadewa,kerennnnn purbaya,positif
Sri Mulyani Indrawati,kelompok tuju,netral
Sri Mulyani Indrawati,hidup hutang pajak rakyat gitu korupsi tinggi dunia negara puii,negatif
Purbaya Yudhi Sadewa,rakyat lindung purbaya,netral
Sri Mulyani Indrawati,rubah hemat banyak menteri wamen kalo duit,netral
Sri Mulyani Indrawati,kalang militer menang pilpres bangga harucoba anda menang sipil blom inipenting calon presiden depan kalang militer,positif
Sri Mulyani Indrawati,beda pimpin jendral tempur wibawa nyawa bawa negara stop citra buzzeran ngapain cuman rusak bangsa negara mantap presiden,positif
Sri Mulyani Indrawati,sri mulyani pmbohong krn mnutupi kejahata korupsi proyek kbijakan hutang era jokowi bngkrut apbn bumn tpi mncari alas mngejar pngusaha pribumi rakyat pajak mati pnghianataan rakyatpnghianat hukum mati,negatif
Purbaya Yudhi Sadewa,doa mas menkeu purbaya wapres sekolah jelasjujur jilat pintar pro rakyat humble integritas tdk diragukanwis opo maneh partai dpr coba usaha gesercopot purbayakalian buly tinggal rakyat nusantarasemangat mas menkeu,positif
Sri Mulyani Indrawati,mbok udah media gede kalo nyebut kasih presiden,netral
Purbaya Yudhi Sadewa,ngeri bajing koruptor indonesia pantes sah ampas aset aplg hukum mati rakyat sengsara peduli koruptor jahanam salah satu hukum rimba korupsi milyaran pling rendah mana tahan bunuh koruptor rame rakyat datang penjara hotel koruptor ribu polisi bklan halang,negatif
Sri Mulyani Indrawati,suka majaki,netral
Sri Mulyani Indrawati,pajak ngga ngisi perut,negatif
Sri Mulyani Indrawati,anak ideologis imf,netral
Purbaya Yudhi Sadewa,ora nde menungso sing bener opo koe tok lek,netral
Purbaya Yudhi Sadewa,lihat lihat aura kayak anis,netral
Sri Mulyani Indrawati,pantesan pajak rencana naik udah sabar nih,negatif
Sri Mulyani Indrawati,aamiinberkah berkah slalu syang bela nkri,positif
Purbaya Yudhi Sadewa,amran purbaya the best moga jujur jalan tugas nkri sejahtera,positif
Purbaya Yudhi Sadewa,juta manusia kalang pimpin indonesia orang jujur jari rakyat jaman raja rakyat sabar tuhan,positif
Purbaya Yudhi Sadewa,dukung prabowo sepenuh dukung purbaya purbaya kuat moral mental dlm laksana tugas,positif
Sri Mulyani Indrawati,mantap ibu,positif
Purbaya Yudhi Sadewa,suka demo ajar,netral
Sri Mulyani Indrawati,naik persen biar jabat makmur rakyat sengsara,negatif
Sri Mulyani Indrawati,ken baca buku kabinet gemoy gemoy,netral
Sri Mulyani Indrawati,pulang amerika sono bikin sengsara indo,negatif
Sri Mulyani Indrawati,hancurya nkri januari ingattt ceos,negatif
Sri Mulyani Indrawati,utang jumbobengkak smi naikin ppn kreatif naik susah rakyat ideal tumbuh ekonomi ppn bawah,negatif
Purbaya Yudhi Sadewa,pubaya tugas mantap rakyat senang,positif
Sri Mulyani Indrawati,terima kasih krn pajak negara dapat bayar hutang gaji menteri,negatif
Purbaya Yudhi Sadewa,harap kau penjara permanen biar kau sadar tau hilang wabah umat islam wabah umat islam gembul gila tenar cepat kaya sesat umat islam,netral
Purbaya Yudhi Sadewa,indonesia orang hebat profesional pura profesional pencitraaan lanjut purbaya pertiwi dukung gebrak keren gebrak kobar matah putih,positif
Purbaya Yudhi Sadewa,allah lindung menkeu purbaya tuntun beliau amanah sukses bangun ekonomi rakyat negeri aminn allah,positif
Purbaya Yudhi Sadewa,berantas mafia ber akar strategy kuatdan takut berantas babi buta ala cowboy bumerang achirnya rakyat susah lagi,negatif
