subjek,final_text,label,status
Purbaya Yudhi Sadewa,andai andai menteri kabinet pur indonesia maju sejahtera,positif,manual
Sri Mulyani Indrawati,laksamana uang republik indonesia semangat sukses laksana negara indonesia cinta ,positif,manual
Purbaya Yudhi Sadewa,sabang samoai merauke ayo rakyat satu jaga purbaya moga ujung tombak membrantas jabat zolim busuk ygsama pro rakyat boropro jajah siksa rakyat,positif,manual
Purbaya Yudhi Sadewa,uang tdk sejahtera bangsa rakyat indonesia sejahtera,positif,manual
Sri Mulyani Indrawati,tinggal sri mulyani indonesia berdarahdarah peres pajak,negatif,manual
Sri Mulyani Indrawati,prabowo bedah mantap,positif,manual
Sri Mulyani Indrawati,mantap lucu banget,positif,manual
Purbaya Yudhi Sadewa,ngabalin risih menkeu rakyat senang menteri cerdas gaya santai insyaallah pimpin beliau harap indonesia depan,positif,manual
Sri Mulyani Indrawati,rajin bayar pajak nih rakyat indonesia bayar menteri wakil menteri utus khusus tunjang rumah dpr makan gizi gratis pokok rakyat peras ppn tapera laksana dana pensiun karyawan swasta nutupin apbn,negatif,manual
Purbaya Yudhi Sadewa,kadang dengar berita berita bingung jatuh,netral,manual
Purbaya Yudhi Sadewa,anakanak turun komunis pki mylai ketarketir hapus dana biaya ganti rugi anakanak turun komunis pki pres pres jokwi prediden cabut kaci delu gembul jan anak ketyrunan komunis pki elo kelompok udah bgga daoat dana golong youtuber nusantara and termul sok tau tembus sandi yudha prabowo,negatif,manual
Sri Mulyani Indrawati,allah selamat indonesia ratu hutang,negatif,manual
Purbaya Yudhi Sadewa,sok mending nggk ngebacot urus dirimuyg penuh dusta bohong,negatif,manual
Sri Mulyani Indrawati,aamiiin,netral,manual
Sri Mulyani Indrawati,mulyani dengar yudhoyono mulyono,negatif,manual
Sri Mulyani Indrawati,kartu koruptor aman tahan takut,negatif,manual
Purbaya Yudhi Sadewa,erick tohir hrs periksa krn jokowi kuasa erick tohir menteri bumnsri mulyani mengundukan pecat krn tkt periksa,negatif,manual
Purbaya Yudhi Sadewa,ekonomi pasar lesu mafia mafia nggak belanja guru,netral,manual
Sri Mulyani Indrawati,ngomong nyerocos pinter bener,negatif,manual
Purbaya Yudhi Sadewa,gembul ternak mulyono yahhh,negatif,manual
Purbaya Yudhi Sadewa,nanya guru gembul cucu pki,negatif,manual
Sri Mulyani Indrawati,mantap sri,positif,manual
Purbaya Yudhi Sadewa,purbaya ganteng,positif,manual
Sri Mulyani Indrawati,pasar uang neng ngasih bunga,negatif,manual
Purbaya Yudhi Sadewa,lihat ekonomi indonesia berantakancontoh demo tentang jabat korub ujung cap pkiwassalam,negatif,manual
Purbaya Yudhi Sadewa,purbaya wapres,positif,manual
Purbaya Yudhi Sadewa,next presiden,positif,manual
Purbaya Yudhi Sadewa,sungguh mulia hati hormat manusia jarang melhat jabat sehat jalan tugas doa baik keluarga jauh buruk lindung allah maha esa,positif,manual
Sri Mulyani Indrawati,biar negara utang lagi sri suruh amrik imf,negatif,manual
Purbaya Yudhi Sadewa,ngelindur,negatif,manual
Sri Mulyani Indrawati,sehat bapa presiden kabibetnya amiiiin doa indonesia maju tangan amiiiin,positif,manual
Sri Mulyani Indrawati,sri muyani bintang sinyal untung rakyat ada sri mulyani kabinet,positif,manual
Purbaya Yudhi Sadewa,geruduk mafia rakyatlogikanya karna ekonomi jdi ancour rakyat cerdassss,negatif,manual
Purbaya Yudhi Sadewa,gembul buzzer,negatif,manual
Sri Mulyani Indrawati,simple orang pinter koq sekitar prabowo menkeu kuat smi koneksi negeri smi anak sayang imf world bank smi politik ekonomi stabil,positif,manual
Sri Mulyani Indrawati,coba cari kualitas,netral,manual
Sri Mulyani Indrawati,menteri suka sengsara rakyat,negatif,manual
Sri Mulyani Indrawati,sripasti muda cantik bgt,positif,manual
Purbaya Yudhi Sadewa,rakyat sensara,negatif,manual
Purbaya Yudhi Sadewa,moga purbaya sehat kuat amin gbu all,positif,manual
Sri Mulyani Indrawati,msh heran jokowi presiden,negatif,manual
Sri Mulyani Indrawati,bikin rakyat sejahtera,positif,manual
Purbaya Yudhi Sadewa,hukum mati koroptor ayo suar,negatif,manual
Sri Mulyani Indrawati,pajak solusi nyekek masyarakatknapa gaji pejabattunjangandll kau cekekserta koruptor kau brantas ,negatif,manual
Sri Mulyani Indrawati,duit nambal apbn gampang pengaruh kolega politik pajak orang kelas tengah instrumen ppn hutang mana gampang gitu repot,negatif,manual
Sri Mulyani Indrawati,periode sby sri mulyani pake beliau jabat bank dunia lupa sejarah,positif,manual
Sri Mulyani Indrawati,menteri pupr basuki tahan prabowo,netral,manual
Purbaya Yudhi Sadewa,moga indonesia bawah beliaubagusbagus nyata beliau naik pajakkarena ekonomi sperti,positif,manual
Purbaya Yudhi Sadewa,menkeu top pokok,positif,manual
Purbaya Yudhi Sadewa,prabowo periode daya beli masyarakat jeblok bikin bangkrut umkm dagang pasar tradisional,negatif,manual
Purbaya Yudhi Sadewa,team purbaya,positif,manual
Purbaya Yudhi Sadewa,mantap menkeu purbaya sosok wakil presiden,positif,manual
Sri Mulyani Indrawati,sri panggil pdhl isu pakai owo krn bbrp beda fakta tdk terjd jeng sri msh panggil menkeu knp slm indo ngutang jerat utang rezim jkw rezim owo jeng sri makelar hutang jeng sri msh owo duga jeng sri adl makelar lmbg kreditur dunia spt imf minjam duit imf bbrp syarat dmn proxynya jeng sri hrs jadi menkeu profil sri anggap hasil krn hutang bunga lbh pasar indo percaya cek brp bunga terima negara banding gila bkn,negatif,manual
Sri Mulyani Indrawati,banyak gimana gajih tunjang pasilitas kantor emang kerja optimal korup menteri kabinet merah putri karna kalo korupsi uang rakyat sedot jabat,negatif,manual
Purbaya Yudhi Sadewa,menkeu bego,negatif,manual
Purbaya Yudhi Sadewa,menteri yng transparan mudah fahami sanggup terobos kaku birokrasi smga indonesia emas cepat,positif,manual
Purbaya Yudhi Sadewa,doa mas menkeu purbaya wapres sekolah jelasjujur jilat pintar pro rakyat humble integritas tdk diragukanwis opo maneh partai dpr coba usaha gesercopot purbayakalian buly tinggal rakyat nusantarasemangat mas menkeu,positif,manual
Purbaya Yudhi Sadewa,mantap purbaya,positif,manual
Sri Mulyani Indrawati,menteri pinter manai pajak,positif,manual
Purbaya Yudhi Sadewa,the next leader,positif,manual
Purbaya Yudhi Sadewa,ayo dukung purbaya kawal sampe kayak ahok nyesel dah demoin ahok,positif,manual
Purbaya Yudhi Sadewa,indonesia orang hebat profesional pura profesional pencitraaan lanjut purbaya pertiwi dukung gebrak keren gebrak kobar matah putih,positif,manual
Sri Mulyani Indrawati,pajak yaa udah pajak makan koruptor bikin rakyat terima rela gue orang benci koruptor,positif,manual
Purbaya Yudhi Sadewa,amran purbaya the best moga jujur jalan tugas nkri sejahtera,positif,manual
Purbaya Yudhi Sadewa,moga allah swt lindung meridhoi purbaya aaamin robbal alamin,positif,manual
Purbaya Yudhi Sadewa,ayo dukung metri uang nkri ajar mui bahlil ompung dpr orgagi satu keuanga nkri mrdeka,positif,manual
Purbaya Yudhi Sadewa,gila jabat,negatif,manual
Purbaya Yudhi Sadewa,percaya iblis tobat drpd percaya pemerintahmau presidenmenterikorup semuakecuali laku hukum mati koruptor legal ampas aset percayaapa malu rakyat konohatuh neraka isi orang konohasegala jahat konohamikiirrngayal bebas korupsi,negatif,manual
Purbaya Yudhi Sadewa,preeet,negatif,manual
Sri Mulyani Indrawati,josss,netral,manual
Purbaya Yudhi Sadewa,mari doa mafia negeri hidayah inayah buat titip aamiin,positif,manual
Sri Mulyani Indrawati,moga nkri sejahteraamandamai aamiin,positif,manual
Sri Mulyani Indrawati,ganti menteri buk astuti,negatif,manual
Purbaya Yudhi Sadewa,sehat purbaya hati musuh selimutkarena bijaksana purbaya pihak rakyatdan hilang bijaksana,positif,manual
Sri Mulyani Indrawati,bikin hutang kuar negri konoha mulyono mulyani,negatif,manual
Purbaya Yudhi Sadewa,hahahaha akyat indonesia bodoh,negatif,manual
Purbaya Yudhi Sadewa,moga pur klrga dlm lindung allah swt orang jujur amanah tuju tuk selamat bangsa insya allah sllu lindung ,positif,manual
Purbaya Yudhi Sadewa,moga purbaya tinjau pajak jual coklat tani pupuk non subsidi racun pajak tani rugi harga coklat turun sulteng,negatif,manual
Sri Mulyani Indrawati,sesuai negara blom sesuai undang undang wajib negara laksana sesuai undang undang nuntut rakyat sesuai undang undang sontoloyo kau sri mulyani bumn topang pajak masyarakat gurus bumn koruopsi mana mana,negatif,manual
Purbaya Yudhi Sadewa,moga purbaya konsisten mskp hadap lawan petinggi korupdan plg support penuh stp langkah menkeu,positif,manual
Purbaya Yudhi Sadewa,sehat upaya baik indonesia indonesia,positif,manual
Purbaya Yudhi Sadewa,analisanya rumah purbaya digerudug warga,negatif,manual
Purbaya Yudhi Sadewa,sdah prabowo bersih bnyak kotor mna sdah indonesia bekerjasama negara eropa,netral,manual
Sri Mulyani Indrawati,sri suka amerika hubung imf,negatif,manual
Sri Mulyani Indrawati,hati hati becanda becanda macem macem korupsi aje kena batu mah,netral,manual
Sri Mulyani Indrawati,srimulyani gampang ajak kongkalikong oligarki gampang ajak ngutang ,negatif,manual
Purbaya Yudhi Sadewa,mafia mapia,negatif,manual
Sri Mulyani Indrawati,ratu ngutang rakyat pajak naikin bayar utang rakyat,negatif,manual
Sri Mulyani Indrawati,gagal sdh mohon tdk tambah jng mmbabi buta,negatif,manual
Purbaya Yudhi Sadewa,menteri gaya santai sopan wibawa,positif,manual
Sri Mulyani Indrawati,indonesia,netral,manual
Sri Mulyani Indrawati,     sumber daya alam sda sumber daya alam sda limpah ruah kaya raya     rakyat via apbn indonesia sumber daya alam pertanyaanpertanyaan sumbang dapat sumber daya alam dapat negara indonesia bps catat terima negara  terima asal     timbul rakyat jelata tetap bodoh pintar biar derita tengok rakyat jibaku sengsara harap indonesia ooosumber daya alam sumber daya alam sda milik rakyat habis digadaicorruptrusakerror rakyat didik iya,negatif,manual
Sri Mulyani Indrawati,laksamana miskin rakyat tinggal kentut pajakin cela cari pajakin pdb indonesia paksa jerat rakyat pajak cari cari cela,negatif,manual
Purbaya Yudhi Sadewa,mafia bisnis ekspor impor iur berkalikali lipat,negatif,manual
Purbaya Yudhi Sadewa,kawal purbaya,positif,manual
Sri Mulyani Indrawati,pikir efek domino ekonomi,netral,manual
Purbaya Yudhi Sadewa,jujur menkeu bijak bare minimum ter bijak defensive naik pajak ppn tukin istimewa kemenkeu mang bijak engga regulasi institusi buruk sosok imam mahdi beres bawa ubah dialakukam kembali bijak bare minimum terobos sayang masyarakat capai bare minimum mang bijak apresiasi capai maslahat rakyat mampu linear jobdesk kerja urgensi berat perintah ketimbang buah bidang usaha korporasi suap nasi,positif,manual
Sri Mulyani Indrawati,perintah pakai saran hemat apbn bbrp jenis keluar tdk desak perintah aku msk resesi ekonomi tanda lbh bln deflasi bps rekayasa data shg bln inflasi nol koma sekian persen,netral,manual
Purbaya Yudhi Sadewa,terima kaseh jokowi restu beliau menteri kelas purrbaya,positif,manual
Purbaya Yudhi Sadewa,moga mafia lenyap indonesiaagar sumber daya alam indonesia nikmat rakyat indonesiamungkin mafia kaya raya ganti rakyat nikmat kaya indonesia ,positif,manual
Purbaya Yudhi Sadewa,masya allah menteri bener humble vibesnya positif banget,positif,manual
Sri Mulyani Indrawati,pajakin teroooosssss efisiensi anggar tinggal naikin pajakkkk,negatif,manual
Sri Mulyani Indrawati,ppn otomatis smua hrga barang bkal bwt klian sring blanaja minimarket sprti alfa indo psti smuax bkal sesungguhx orang sprti mata untk mreka buta buta mata kepalax mata hatix,negatif,manual
Purbaya Yudhi Sadewa,lumayan jeli kang guru gembulselama purbaya tindak senggol penting politik penting selubung prabowopurbaya pertahankankarena prabowo politikus elite tindak sentuh politik kekang titik singgung bijak perintah prabowo sikap tri sendiriselama idealisme purbaya sentuh penting politik prabowo fikir gantimaksud tegas purbaya benah ekonomi smruhan politik penting politik prabowo skarang purbaya lurus lembut bijak,positif,manual
Purbaya Yudhi Sadewa,purbaya kambing hitam gagal,negatif,manual
Purbaya Yudhi Sadewa,tibatiba pakai jam tangan ratus juta miliar,netral,manual
Sri Mulyani Indrawati,senang kabinet merah putih alhamdulillah,positif,manual
Sri Mulyani Indrawati,terus naik pajakkam seglanya sesuai dng hendak kuasa neg puas sengsara rakyat,negatif,manual
Sri Mulyani Indrawati,habis koruptor,negatif,manual
Purbaya Yudhi Sadewa,moga allaah kutuk menteri purbaya kutuk analis analis pojok beliau rakyat dukung purbaya,positif,manual
Sri Mulyani Indrawati,yaaa ngutang,negatif,manual
Purbaya Yudhi Sadewa,suruh demojarah ulah mafia rusuh tertawa layar kuasa,negatif,manual
Sri Mulyani Indrawati,power tends corrupt absolut power absolutly corrupt,negatif,manual
Purbaya Yudhi Sadewa,isyarat purbaya penting jabat kerja bangun negri peduli,positif,manual
Purbaya Yudhi Sadewa,kagum purbaya,positif,manual
Purbaya Yudhi Sadewa,bpkdidoakan rakyat indonesia bpkdilindungi alloh swt juang bpkuntuk rakyat diridhoi alloh,positif,manual
Purbaya Yudhi Sadewa,indonesia negara maju,positif,manual
Sri Mulyani Indrawati,biadab laknat ekonomi daya belihancur waris korupsi hutang pfoyek dungu kbijakan era jokowi bangkrut bngsa rakyat pngusaha pribumi bunuh pajakmematikaninipnghianatan rakyat bngsa mnnagkap koruptor pnyelewengan era jokowi luhutmalah rajyat dibunuhpnghianat bngsa hukum mati,negatif,manual
Purbaya Yudhi Sadewa,aura bener menkeu pedjantan tangguh,positif,manual
Purbaya Yudhi Sadewa,ahy purbaya next presidentn wapres,positif,manual
Purbaya Yudhi Sadewa,mantap maju ters purbaya berani cerdas jujur pikir rkyt,positif,manual
Sri Mulyani Indrawati,mantap,positif,manual
Purbaya Yudhi Sadewa,kejar mafia lari semangat menteri uang kalah maling,positif,manual
Sri Mulyani Indrawati,sandera,negatif,manual
Sri Mulyani Indrawati,sri mulyani tdk bawa sejahtera rakyat,negatif,manual
Purbaya Yudhi Sadewa,apa isi bahagia koruptor tangkap puas koruptor rakus henti makan uang negara pribadi percaya sumpah prabowo bshwa sisa usia rakyat indonesia mensejahtrakannya serah nyaman jalan hasil instan koruptor tangkap tinggal rampas aset hukum mati,negatif,manual
Sri Mulyani Indrawati,kerreeen,positif,manual
Sri Mulyani Indrawati,kali suka liat giat menteri presiden,positif,manual
Purbaya Yudhi Sadewa,purbaya jaim sok wibawa orang gesit sat set mampir bni beliau panggil direksi bni hadap kantor kemenkeu purbaya turun langsung bni moga contoh menteri gercep turun langsung instansi kait bidang jelimet birokrasi hormat,negatif,manual
Sri Mulyani Indrawati,rakyat korban pajak,negatif,manual
Purbaya Yudhi Sadewa,menteri purbaya ,netral,manual
Purbaya Yudhi Sadewa,bicara ttg politik lupa politik jahat sekali,negatif,manual
Sri Mulyani Indrawati,pinter ngomong enak naik pajak utang bajar memaximalkan mampu uang bumbu bumbu ijin ngutang,negatif,manual
Sri Mulyani Indrawati,sri menteri uang dunia  kaya bintang karna jasa bangsa indonesia bukti kerja nyata rasa rakyat indonesia ,positif,manual
Sri Mulyani Indrawati,mantap prabowo lanjut,positif,manual
Purbaya Yudhi Sadewa,alloh lindung purbaya,positif,manual
Purbaya Yudhi Sadewa,bismilah tang purbaya ubah ekonomi nkri pro rakyat,positif,manual
Purbaya Yudhi Sadewa,kepala ekor kuropsi uang negara rakyatdanatara lubok besar kuropsi kepala negara lihat danatara menteri amanah klu menteri amanah merdeka indonesia majubenar danatara bikintapi hasil bumi indonesia pajak rakyat habis bangun negaramasa jokowi bangun indonesia nampak bangunjelas biaya jokowi bangun nyaklu uang hasil pajak kurupsi memteri jokowi uang jokowi bangun indonesia mcm prubaya perihal menteri dpr prubaya lantang suara sri muliyani puluh menteri adabukan menteri dpr risemua kuropsikita lihat nti prubaya menteri dlm dpr prubaya pusing kepala pikir mcm sri muliyani mikir,negatif,manual
Sri Mulyani Indrawati,pajak gila,negatif,manual
Sri Mulyani Indrawati,negeri kanoha ngk kasih pangkat gelar,negatif,manual
Sri Mulyani Indrawati,mantap bos,positif,manual
Sri Mulyani Indrawati,mantap sama,positif,manual
Purbaya Yudhi Sadewa,sok tau njing manusia kontribusi prestasi bisa jdi tukang fitnah provokator cipta opini negatif publik kondisi tuju destruktif perintah negara,negatif,manual
Sri Mulyani Indrawati,kawal badan intelejen uang,netral,manual
Sri Mulyani Indrawati,tuju menteri uang perempuan non muslim pajak peduli rakyat,positif,manual
Purbaya Yudhi Sadewa,oligarki mafia preman sulit berantas butuh kuasa kali tuju guru,negatif,manual
Sri Mulyani Indrawati,sri mulyani wanita hebat milik indonesia lepas orang suka fakta atur uang negara jalan relatif aman sri mulyani jabat beliau tokoh ecek kemarin sore kelas sri mulyani internasional kelas bendahara desa,positif,manual
Purbaya Yudhi Sadewa,dampak dagang,netral,manual
Sri Mulyani Indrawati,dukung pjbt negara pjbt swasta oke bekal militermininal disiplin dlm kerja,netral,manual
Purbaya Yudhi Sadewa,lngsung tuhh ngmng emng bayar utang sgini orang korupsi mas gede utang apa anjiir panntes ferry latuhihin bilang waras orang wkwkwkwkwk,negatif,manual
Sri Mulyani Indrawati,ekonomi hancurmalah pilih,negatif,manual
Purbaya Yudhi Sadewa,kue pancing korup bersih koruptor lancar situ siap jebak dapat bukti,negatif,manual
Sri Mulyani Indrawati,adopsi presiden soekarno sipil kasih pakai pangkat militer,netral,manual
Sri Mulyani Indrawati,udah menteri uang bilang calon menteri,netral,manual
Sri Mulyani Indrawati,berat susah cari uang berat rakyat mana hasil pajak kena pajak makan minum dll pikir,negatif,manual
Purbaya Yudhi Sadewa,itulahmafia melsnggengkan usaha rampok butuh kerja orang sogok,negatif,manual
Sri Mulyani Indrawati,mohon perhati gaji umr buruh kasar lapang minimal gaji umr buruh kasar umr sekian terima kasih kpda bpk president prabowo nkri negara indonesia kami,netral,manual
Sri Mulyani Indrawati,srimulyani angkat menku beliau rahasia uang negara perintah,positif,manual
Sri Mulyani Indrawati,kembali rakyat puyeng,negatif,manual
Purbaya Yudhi Sadewa,pikir khayal pribadi tahu intelektual dasar alam ilmiah,netral,manual
Sri Mulyani Indrawati,suruh tanggung bayar debt,negatif,manual
Purbaya Yudhi Sadewa,skenario check and balancing ala prabowo,netral,manual
Sri Mulyani Indrawati,kalo alm rizal ramli spg bank dunia world bank prabowo menteri cetak utang,netral,manual
Sri Mulyani Indrawati,blm layak naik ppn buka lowong kerja dlu bykspy byk pengangguranbinasakan dlu koruptorstelah ppnekonomi susah rampok byk negara rampok rakyatbenar edan,negatif,manual
Purbaya Yudhi Sadewa,coba dengar dongeng gembul,negatif,manual
Sri Mulyani Indrawati,mantappppp ,positif,manual
Sri Mulyani Indrawati,bbm ongkir harga harga emosi,negatif,manual
Purbaya Yudhi Sadewa,ada birokrat rangkap mafia,negatif,manual
Sri Mulyani Indrawati,tanda akn tegak kedisplinan hukum tdk pndang bulu,positif,manual
Purbaya Yudhi Sadewa,bagus sok tau ngedahuluin tuhan liat dlu depan skeptis ahh,negatif,manual
Sri Mulyani Indrawati,sri mulyani bintang laksamana economy strategi indonesia,positif,manual
Purbaya Yudhi Sadewa,lihat hasil nanti,netral,manual
Sri Mulyani Indrawati,presiden top jaim wibawa jaga,positif,manual
Sri Mulyani Indrawati,sri mulyani pmbohong krn mnutupi kejahata korupsi proyek kbijakan hutang era jokowi bngkrut apbn bumn tpi mncari alas mngejar pngusaha pribumi rakyat pajak mati pnghianataan rakyatpnghianat hukum mati,negatif,manual
Purbaya Yudhi Sadewa,masuk akal,netral,manual
Sri Mulyani Indrawati,sri mulyani ibuk cerdas idola,positif,manual
Purbaya Yudhi Sadewa,fitnah,negatif,manual
Purbaya Yudhi Sadewa,takut bawa meja gepok uang siaapkan mantaps,negatif,manual
Sri Mulyani Indrawati,semangat,positif,manual
Purbaya Yudhi Sadewa,sri mulyani,netral,manual
Purbaya Yudhi Sadewa,moga kang guru karungin,netral,manual
Purbaya Yudhi Sadewa,ayo rame rame alih listrik subsidi bbm isap apbn besar kembang potensi nikel indonesia mumpung main ngumpul pertamina kabeh,netral,manual
Sri Mulyani Indrawati,kalang militer menang pilpres bangga harucoba anda menang sipil blom inipenting calon presiden depan kalang militer,netral,manual
Purbaya Yudhi Sadewa,klau partai anggota jerat korupsi pro bubar,negatif,manual
Purbaya Yudhi Sadewa,boro menang purbaya kalo racun kaya munir kasus gantung,negatif,manual
Sri Mulyani Indrawati,sesuai dng prestasi mulyani,positif,manual
Sri Mulyani Indrawati,lihat perintah prabowo fresh ,netral,manual
Sri Mulyani Indrawati,mantap ,positif,manual
Sri Mulyani Indrawati, dunia uang panglima sri,positif,manual
Purbaya Yudhi Sadewa,lil bahlil musuh,negatif,manual
Purbaya Yudhi Sadewa,mafia migas pantes bahllol geser,negatif,manual
Purbaya Yudhi Sadewa,skenario perintah,negatif,manual
Sri Mulyani Indrawati,zaman saddam husein menteri wajib pakai militer,netral,manual
Purbaya Yudhi Sadewa,geledah rumah giring opini buzer,netral,manual
Sri Mulyani Indrawati,selamat karya prabowo tim lanjut mimpi indonesia emas,positif,manual
Purbaya Yudhi Sadewa,isu pelihara sperti ijazah jokowi polemik pelihara biar fokus media sorot publik situ melulu sperti strategi alih perhati,negatif,manual
Purbaya Yudhi Sadewa,tau the real mafia bahlul simbah luhut nenek mega,negatif,manual
Sri Mulyani Indrawati,presiden prabowo keren cerdas luarbiasatapi baik srimulyani uang aman nyaman nkri,positif,manual
Sri Mulyani Indrawati,alhamdulillah sri lanjut menkeu  sehat,positif,manual
Sri Mulyani Indrawati,menteri kaya raya kerja tuk rakyat,positif,manual
Purbaya Yudhi Sadewa,presiden laen cerdik banget kalo mimpin kek cina maju dukung,netral,manual
Sri Mulyani Indrawati,sri mulyani klw kasih langsung bintang,positif,manual
Sri Mulyani Indrawati,naik persen biar jabat makmur rakyat sengsara,positif,manual
Sri Mulyani Indrawati,bubisa jabat potong pajak persenbiar makmur negara rakyat sejahtera khusus jabat pajak hasil terima kasih,positif,manual
Sri Mulyani Indrawati,pprabowo hebat kembali marwah abri,positif,manual
Purbaya Yudhi Sadewa,kalo masuk akal fair nonton,netral,manual
Sri Mulyani Indrawati,srimulyani,netral,manual
Purbaya Yudhi Sadewa,pnting fungsi,netral,manual
Purbaya Yudhi Sadewa,tidak puas rakyat sasar jokowi kelompok,netral,manual
Sri Mulyani Indrawati,menteri presiden prabowo gibran bangun nkri rakyat sukses ,positif,manual
Sri Mulyani Indrawati,top pokok prabowo,positif,manual
Purbaya Yudhi Sadewa,point masyarakat bodoh provokator bikin aman nasional ngga stabil,netral,manual
Sri Mulyani Indrawati,bintang bintang kasih,netral,manual
Sri Mulyani Indrawati,sri mulyani tua cantik,positif,manual
Sri Mulyani Indrawati,bakal,netral,manual
Purbaya Yudhi Sadewa,penting diakomodir kuasa wni bangsa asing,netral,manual
Sri Mulyani Indrawati,mantap ibu,positif,manual
Purbaya Yudhi Sadewa,beban rakyat hasil sita koruptor bayar utang uang sita lari mana,netral,manual
Sri Mulyani Indrawati,mantab menteri seragam tni ,netral,manual
Purbaya Yudhi Sadewa,nggk ngerti kesini nggk podcast bedah politik ampe prediksi politik kayak dukun politik mending bahas sejarah budaya perilaku budaya,netral,manual
Purbaya Yudhi Sadewa,menkeu knp ganti,netral,manual
Sri Mulyani Indrawati,dekat atas bawah,netral,manual
Sri Mulyani Indrawati,simple sri pintar bidang prabowo realisasi percaya orang renovasi anggar,positif,manual
Sri Mulyani Indrawati,mantaabkedekatan presiden menteri penuh candasemoga bangsa negara penuh amanah,positif,manual
Sri Mulyani Indrawati,menteri uang pro ama rakyat pro kuasa,netral,manual
Sri Mulyani Indrawati,tunggu hasil kerja ,netral,manual
Purbaya Yudhi Sadewa,demo dukung menkiu bijak rakyat purbayammd allaah menjg purbayaaamiin,netral,manual
Purbaya Yudhi Sadewa,menteri lengser fomo pola pikir kolot aki dont judge book the cover,netral,manual
Purbaya Yudhi Sadewa,punya sahroniya brandid trilyunan otak kyk cek kosongbisa flexing doang wkwkwk belagu,negatif,prediksi_model
Purbaya Yudhi Sadewa,arti family office manfaat lngsung rakyat,negatif,prediksi_model
Purbaya Yudhi Sadewa,menteri purbaya yudhi sadewa type marie muhammad cerdas sederhana manfaat jabat menteri kaya keluarga korupsi,positif,prediksi_model
Purbaya Yudhi Sadewa,purbaya pikir kaya pikir rakyat yng mulya jalan amanah tuhan orang yng surga tempatnyaaamiin,positif,prediksi_model
Purbaya Yudhi Sadewa,purbaya orang suka mubazier milyaran planga plongo doank beliau ekonom asli lhooo,positif,prediksi_model
Purbaya Yudhi Sadewa,juta gaji sya bulan,negatif,prediksi_model
Purbaya Yudhi Sadewa,tribune berita mutu banyak hoax rating viewers ,negatif,prediksi_model
Purbaya Yudhi Sadewa,ngeri jam sorot,negatif,prediksi_model
Purbaya Yudhi Sadewa,presiden bpk prabowo bpk purbaya menku inibeliau tegaslugas tdk ragu ambil sikap untk kebaikanpokoknya pihak rakyatsmg kelak menjd presiden riaamiin,positif,prediksi_model
Purbaya Yudhi Sadewa,ubah iblis dibagusin jabat,negatif,prediksi_model
Purbaya Yudhi Sadewa,purbaya fenomenal banget serhana dlm tampil batik jam namu tetep elegant postur tubuh bsar wajah sll senyum aden liat walsupun gebraganya mbuat panas dingin bgi aparat curang,positif,prediksi_model
