date,tokoh,text,clean_text,label,source
,Sri Mulyani Indrawati,"terserah negara tetangga yang iri 😂
faktanya 10 tahun terakhir pertumbuhan kita jelas.
semua orang bilang korupsi, tapi fakta di lapangan kita benar-benar tumbuh bersama partner investor kita.
itulah mengapa Singapore, China, Korea dan Japan, tetap percaya kepada kita.
karna bersama kami membangun Indonesia.
jika anda ke Indonesia anda akan melihat.

penjualan Mobil japan yang sukses 
penjualan Smartphone China yang sukses
penjualan produk Korea yang sukses
Shopee dengan Singapore yang sukses.
kami selalu menjaga hubungan baik dengan negara yang membantu kami.
negara seperti Malaysia yang masih iri dan merendahkan Indonesia bermimpi lah produk anda tidak akan pernah di terima masyarakat.
perbaiki sifat anda dahulu baru kita bisa bekerjasama.",serah negara tetangga iri fakta tahun akhir tumbuh jelas orang korupsi fakta lapang benarbenar tumbuh sama partner investor singapore china korea japan tetap percaya karna sama bangun indonesia indonesia lihat jual mobil japan sukses jual smartphone china sukses jual produk korea sukses shopee singapore sukses selalu jaga hubung baik negara bantu negara malaysia iri rendah indonesia mimpi lah produk terima masyarakat baik sifat baru bekerjasama,positif,manual
2025-12-05T04:15:48Z,Purbaya Yudhi Sadewa,sebenarnya rakyat  indonesia bis😅a tanpa pajak bila tidak ada  korupsi  dan sda kita tidak dikorup j7ga 😢,benar rakyat indonesia pajak korupsi sda korup j7ga,netral,manual
2025-08-29T04:03:13Z,Sri Mulyani Indrawati,"Orang inilah yg memeras kita dgn pajak yg besar, gaji besar tapi pajak juga besar sehingga sama saja dgn tidak naik gaji",orang ini peras pajak besar gaji besar pajak besar sama naik gaji,negatif,manual
2025-12-05T11:34:52Z,Purbaya Yudhi Sadewa,KOK MESTI PIKIRANNYA DPR TIDAK PERNAH SEJALAN DENGAN RAKYATNYA ?,kok mesti pikir dpr jalan rakyat,negatif,manual
2025-07-24T01:11:24Z,Sri Mulyani Indrawati,Gaji pensiunan pns dong bu jgn lupa 😢 tiap bulan kami kepotong hutang 😢😢😢,gaji pensiun pns dong lupa bulan potong hutang,netral,manual
2025-12-05T13:48:19Z,Purbaya Yudhi Sadewa,Tenag pak Purbaya bukan anda yg fi kucil kan tapi org 2 munafik itu yg mulai kehilangan arah,tenag kucil org munafik mulai hilang arah,netral,manual
2025-10-31T00:22:58Z,Purbaya Yudhi Sadewa,"Saya yakin Mentri Purbaya di dukung rakyat seluruh Indonesia, pejabat yg tidak mendukung perlu di periksa.",yakin tri dukung rakyat seluruh indonesia jabat dukung perlu periksa,positif,manual
,Sri Mulyani Indrawati,"Sekarang TNI di benturkan dengan rakyat, ternyata para pejabat bisa menggantikan tuhan asal tuding hari ini rumah dan hartaku harus kamu jaga.
Jangan sampai rusak / hilang, kalau sampai ada kamu akan kami pecat.",sekarang tni bentur rakyat nyata jabat ganti tuhan asal tuding hari rumah harta jaga rusak hilang pecat,negatif,manual
2025-07-24T07:30:01Z,Sri Mulyani Indrawati,Kembalikan pengelolaan SDA ke daerah masing-masing,kembali kelola sda daerah masingmasing,netral,manual
2025-10-14T15:11:51Z,Purbaya Yudhi Sadewa,Kedatangan pak purbaya bgi orang2 yg dulu suka korop2.,datang bgi orang2 suka korop2,netral,manual
2025-08-31T15:43:47Z,Sri Mulyani Indrawati,"Cepatlah mundur , drpd    nyawa hilang",cepat mundur drpd nyawa hilang,negatif,manual
2025-08-20T11:23:47Z,Sri Mulyani Indrawati,Dari gerakan bibirnya juga sesuai kok,gera bibir sesuai kok,netral,manual
2025-08-24T11:26:03Z,Sri Mulyani Indrawati,Cabik aja mulut yg sembarang bicara,cabik mulut sembarang bicara,negatif,manual
2025-12-04T16:13:27Z,Purbaya Yudhi Sadewa,"kalo ada pejabat kepanasan dan ga suka sama pak purbaya dan mau mengulingkan pak purbaya.. kita rakyat, gulingkan balik pejabat yg ingin mengulingkan pak purbaya!! 🔥🔥",jabat panas suka sama uling rakyat guling balik jabat uling,negatif,manual
2025-08-21T23:40:02Z,Sri Mulyani Indrawati,Omon omon doang. Gedabrus. 😊,omon omon doang gedabrus,negatif,manual
,Purbaya Yudhi Sadewa,"Mantap PURBAYA & ANDI AMRAN ❤️🇮🇩
Alhamdulillah
Alhamdulillah
Alhamdulillah
💚💚💚💚💚💚💚",mantap andi amran alhamdulillah alhamdulillah alhamdulillah,positif,manual
2025-12-04T01:48:05Z,Purbaya Yudhi Sadewa,"Menteri kewangan terbaik sepanjang sejarah Indonesia, tranferran - profesional dan apa adanya gk menutup'nutupi, teruskan pk purbaya 'cantas semua anggaran yg mencurigakan, buatkan seluruh wni kartu ATM semua",wang baik panjang sejarah indonesia tranferran profesional apa ada menutupnutupi terus cantas anggar curiga buat seluruh wni kartu atm,positif,manual
2025-09-01T02:04:15Z,Sri Mulyani Indrawati,JIKA BELUM ADA KONFIRMASI DARI YBS ... KAMI MASIH TETAP TANDA TANYA....,konfirmasi ybs tetap tanda tanya,netral,manual
2025-11-01T22:17:24Z,Purbaya Yudhi Sadewa,"Tampaknya pak Purbaya tulus untuk rakyat, sedangkan pak Dedi Mulyadi masih diragukan ketulusannya.",tampak tulus rakyat dedi mulyadi ragu tulus,positif,manual
2025-12-03T13:12:12Z,Purbaya Yudhi Sadewa,Ketua BI harus diganti,ketua ganti,netral,manual
2025-10-13T05:56:08Z,Purbaya Yudhi Sadewa,srimulat adalah firaun sesungguhnya...adili,srimulat firaun sesungguhnyaadili,negatif,manual
2025-08-22T02:01:49Z,Sri Mulyani Indrawati,Anjing rampok berkedok pejabat,anjing rampok kedok jabat,negatif,manual
,Purbaya Yudhi Sadewa,"Menghemat Biyaya 😂😂😂😂

Kalau Mau Menghemat Tidak Usah Libatkan Pajak Masyarakat Bayar Utang Wuss",hemat biyaya hemat usah libat pajak masyarakat bayar utang wuss,negatif,manual
2025-08-21T07:18:14Z,Sri Mulyani Indrawati,Si Mulyani ikutan edan,ikut edan,negatif,manual
2025-12-05T10:56:11Z,Purbaya Yudhi Sadewa,Udah kepastian grombolan mpembohonh sikorup sipenjahat gak suka kepada mertri Purbaya maju terus pantang mundur demi rakyat semoga BPK Purbaya sehat selalu panjang umurnya yg barokah dilindungi Alloh SWT insaaloh doa rakyat untuk BPK Mentri Purbaya makasih klo perlu habisin tikus tikus,udah pasti grombolan mpembohonh sikorup sipenjahat suka mertri maju terus pantang mundur rakyat moga bapak sehat selalu panjang umur barokah lindung alloh swt insaaloh doa rakyat bapak tri terima kasih perlu habisin tikus tikus,positif,manual
2025-11-25T03:59:56Z,Purbaya Yudhi Sadewa,mentri terbaik negaraku pak purbaya  kaya bersama pak menkeu Aamiin,tri baik negara kaya sama aamiin,positif,manual
2025-09-10T17:57:57Z,Sri Mulyani Indrawati,kejar dan tangkap atuh pembuat deepfake,kejar tangkap atuh buat deepfake,negatif,manual
2025-08-15T14:31:41Z,Sri Mulyani Indrawati,Prestasi Sri Mulyani : 1. Jadi calo utang luar negri sekaligus menjadi antek asing dalam mendikte Indonesia agar mematuhi perjanjian utangnya yg merugikan Indonesia. 2. Mampajaki (memeras) rakyat dengan ancaman denda pajak dan cukai2nya yg membebani keuangan rakyat yg semakin miskin dan makan tabungan. Bravo ?,prestasi calo utang luar negri sekaligus jadi antek asing dikte indonesia patuh janji utang rugi indonesia mampajaki peras rakyat ancam denda pajak cukai2nya beban uang rakyat makin miskin makan tabung bravo,negatif,manual
2025-10-13T23:20:07Z,Purbaya Yudhi Sadewa,Sudah waktunya opung dkk taat pd aturan,waktu opung dkk taat atur,netral,manual
2025-12-04T15:32:51Z,Purbaya Yudhi Sadewa,"Kita harus lindungi pak Purbaya, kalo sampe pak Purbaya ada yang mengancam ,SUDAH TUGAS KITA SEBAGAI RAKYAT INDONESIA BERSATU",lindung sampe ancam tugas rakyat indonesia satu,positif,manual
2025-07-26T03:14:07Z,Sri Mulyani Indrawati,"Bongkar,, byk yg suka jalan tikus tersembunyi...",bongkar byk suka jalan tikus sembunyi,negatif,manual
2025-11-04T13:52:42Z,Sri Mulyani Indrawati,Sri Mulyani sok pinter padahal pengkianat  terkorop,sok pinter pengkianat terkorop,negatif,manual
2025-12-04T02:03:33Z,Purbaya Yudhi Sadewa,"Sejak dulu, orang sdh pada tahu, namanya beacukai. Wilayah sangat basah",sejak orang tahu nama beacukai wilayah basah,negatif,manual
2025-12-05T04:02:07Z,Purbaya Yudhi Sadewa,Luar biasa memang anggota dewan kita,luar memang anggota dewan,negatif,manual
2025-12-05T05:48:02Z,Purbaya Yudhi Sadewa,Kalau pak Pur diturunkan. Rakyat pasti demo,pur turun rakyat demo,netral,manual
2025-08-22T07:09:32Z,Sri Mulyani Indrawati,Dia SDH TDK peka,peka,negatif,manual
2025-12-06T00:01:27Z,Purbaya Yudhi Sadewa,Globalisasi yg sangat mempengaruhi gen z...😢,globalisasi pengaruh gen,netral,manual
2025-12-05T11:58:23Z,Purbaya Yudhi Sadewa,Pantang mengarah maju terus pak,pantang arah maju terus,positif,manual
2025-12-04T07:42:56Z,Purbaya Yudhi Sadewa,Siapa dulu yang ngidolain Sri Mulyani?? Nyesel kan loe. Untung gw ga pernah 🤣,ngidolain nyesel loe untung,negatif,manual
,Purbaya Yudhi Sadewa,"C opung , suka di singgung pak presiden , tak perduli mantan jendral atau siapa pun , aku beres kan.

Kode sama C opung mundur mundur sebelum di sikat oleh presiden .",opung suka singgung duli mantan jendral beres kode sama opung mundur mundur sikat,netral,manual
2025-08-21T05:21:54Z,Sri Mulyani Indrawati,Sri mulyono sudah nenek²..jadi wajar aja klo tolol lagi..sebentar lg juga dipanggil sang kuasa.,mulyono nenekjadi wajar tolol lagisebentar panggil sang kuasa,negatif,manual
,Purbaya Yudhi Sadewa,"""Memang selama ini kita ga becus.""

Maksudnya tuh menteri sebelumnya kalik ya😂",memang lama becus maksud belum kalik,negatif,manual
2025-08-21T09:31:15Z,Sri Mulyani Indrawati,Maunya dia rakyat bodoh terus 😂,mau rakyat bodoh terus,negatif,manual
2025-08-31T08:40:57Z,Sri Mulyani Indrawati,"Muhasabah diri, kenapa terjadi pada dirimu bu menkeu... 😢",muhasabah jadi diri,negatif,manual
2025-08-31T08:26:46Z,Sri Mulyani Indrawati,Jangan dijagain pak. Kita lagi melaksanakan RUU Perampasan Aset.,dijagain laksana ruu ampas aset,netral,manual
2025-11-08T22:47:10Z,Sri Mulyani Indrawati,Sri Mulyani korupsi,korupsi,negatif,manual
2025-11-26T10:14:38Z,Purbaya Yudhi Sadewa,KOAR KOAR TOK,koar koar tok,negatif,manual
2025-08-21T03:57:30Z,Sri Mulyani Indrawati,"Terlepas dari editan atau lain sebagainya, tapi memang rakyat melihat para koruptor, DPR dan pejabat yg justru dipandang BEBAN Negara..!!!",lepas edit bagai memang rakyat lihat koruptor dpr jabat pandang beban negara,negatif,manual
2025-11-01T04:28:59Z,Purbaya Yudhi Sadewa,"Kalau Pak Purbaya kita nilai baik dan akan membawa Indonesia ke arah yg lebih baik, kita semua harus mendukung, membela dan melindungi. Jangan biarkan beliau berjuang dan mati sendiri. Jangan sampai kita hanya berkomentar dan bangga saja, tidak berbuat apa-apa.",nilai baik bawa indonesia arah lebih baik dukung bela lindung biar beliau juang mati sendiri komentar bangga buat apaapa,positif,manual
2025-08-24T11:40:04Z,Sri Mulyani Indrawati,Ini lonte ya,lonte,negatif,manual
2025-07-27T15:03:47Z,Sri Mulyani Indrawati,Ini mentri perampok dan perusak negara,tri rampok usak negara,negatif,manual
,Purbaya Yudhi Sadewa,"Memang betul kata gusdur
 Prabowo orangnya baik hati",memang betul gusdur orang baik hati,positif,manual
2025-08-31T04:31:26Z,Sri Mulyani Indrawati,Masak rmh Mentri sejelek itu Ndak mewah...ini rmh yg ke berapa....luuur😊😊😊 mcm biasa aja...mobil nya alfad rmh nyaa jelek mcm mustahil juga 😊😊😊,masak rmh tri jelek ndak mewahini rmh berapaluuur mcm ajamobil alfad rmh nyaa jelek mcm mustahil,negatif,manual
2025-08-14T09:28:04Z,Sri Mulyani Indrawati,Pajak buat bayar pejabat,pajak bayar jabat,negatif,manual
2025-12-04T16:09:33Z,Purbaya Yudhi Sadewa,Harusnya aturan pemerintah itu setiap org yg jadi Mentri.. harus keluar dari partai agar TDK terikat lagi dgn keinginan partai.,harus atur perintah org tri keluar partai ikat ingin partai,netral,manual
2025-06-29T23:46:17Z,Sri Mulyani Indrawati,Indonesian not facing inflammation but corruption,indonesian not facing inflammation but corruption,negatif,manual
2025-08-19T20:21:26Z,Sri Mulyani Indrawati,"pidatonya ok lah, kerja & kinerja nya yg amburadul, yg menyengsarakan rakyat, ..",pidato oke lah kerja kerja amburadul sengsara rakyat,negatif,manual
2025-08-20T07:55:57Z,Sri Mulyani Indrawati,Ngeless,ngeless,negatif,manual
2025-08-25T13:14:52Z,Sri Mulyani Indrawati,Keluarga sri anjeng,keluarga anjeng,negatif,manual
2025-11-28T12:20:09Z,Purbaya Yudhi Sadewa,"Barakallah,pak presiden",barakallahpak,positif,manual
2025-12-05T06:32:48Z,Purbaya Yudhi Sadewa,yang menyerang purbaya adalah penjilat,serang jilat,negatif,manual
2025-08-14T15:02:47Z,Sri Mulyani Indrawati,Pajak itu haram Sri sri,pajak haram,negatif,manual
2025-09-01T05:52:03Z,Sri Mulyani Indrawati,DPR yg merusak rakyat .makan makan uang rakyat,dpr rusak rakyat makan makan uang rakyat,negatif,manual
2025-08-22T08:15:16Z,Sri Mulyani Indrawati,"Lo jadi Mentri pinter yg minterin siapa,kalau bukan guru,emangnya Lo bisa pinter sendiri,pinter tapi kok bego",tri pinter minterin siapakalau guruemangnya pinter sendiripinter kok bego,negatif,manual
,Sri Mulyani Indrawati,"Tanpa guru...nggak akan ada orang pintar
Dan jangan sombong semua hanya titipan...dari Alloh tunggu tanggal mainnya pasti musnah semua....sekedar ada gempa sibuk mencari perlindungan kesana kemari....se x  lagi jangan sombong.",gurunggak orang pintar sombong titipandari alloh tunggu tanggal main musnah semuasekedar gempa sibuk cari lindung kesana kemarise sombong,negatif,manual
2025-08-31T23:49:49Z,Sri Mulyani Indrawati,Kalaw bukan jasa guru mana ada anak anak bangsa jadi pinter ...he anda juga pinter seperti sekarang ini atas jasa guru jaga tuh lisan,kalaw jasa guru anak anak bangsa pinter pinter sekarang atas jasa guru jaga lisan,negatif,manual
2025-08-31T03:55:51Z,Sri Mulyani Indrawati,Para pejabat pada mikir gak sih dengan apa yang dilakukan rakyat???,jabat mikir apa laku rakyat,netral,manual
2025-12-01T12:58:44Z,Purbaya Yudhi Sadewa,Bu Sri Mulyani terjebak dan tertekan dengan IMF.. makanya sudah benar langkah menkeu sekarang jadi cari investor dengan pembenahan regulasi kebijakan bukan ngemis investor dan negara lain,jebak tekan imf makanya benar langkah sekarang cari investor benah regulasi bijak ngemis investor negara,positif,manual
2025-10-14T03:18:25Z,Purbaya Yudhi Sadewa,"Kita sebagia rakyak jelata...yg di tuntut harus mannut dengan aturan negara.... walaupun mata hati kita tak bisa melihat..kalo para pemimpin tidak amanah. ....mereka akan menangung atas ke zaliman yg mereka perbuat. Akan menerima azab dari tuhan kita ,aamiin ya rob 🤲",sebagia rakyak jelatayg tuntut mannut atur negara walaupun mata hati melihatkalo pimpin amanah menangung atas zalim buat terima azab tuhan aamiin rob,netral,manual
2025-12-05T18:09:56Z,Purbaya Yudhi Sadewa,Memuju secara personal tapi dalam suatu polituk prabowo butuh dukungan partai2 yang saat ini jadi koalisi jika terlalu frontal koalisi akan oecah dan GERINDRA akan kekurangan prosentase suara dipemilu. Agar prosenrase gerindra retap kuat maka pwrlu kita nol kan suara partai lain yang mundur dari koalisi,memuju personal polituk butuh dukung partai2 koalisi terlalu frontal koalisi oecah gerindra kurang prosentase suara milu prosenrase gerindra retap kuat pwrlu nol suara partai mundur koalisi,netral,manual
,Sri Mulyani Indrawati,"Di zaman SBY 1triliun Dana century hilang tampa penjelasan.. 
Rezim jokowi 7000 Triliun hutang negara melimpah ,Itu tanda tdk ada keseriusan srimulyani dlm mengelola ke uangan negara... Di Jaman prabowo Dia lagi jd Mentri keuangan negara😅😅😅😅",zaman sby 1triliun dana century hilang tampa jelas rezim 7000 triliun hutang negara limpah tanda serius srimulyani kelola uang negara jaman tri uang negara,negatif,manual
2025-12-01T13:13:27Z,Purbaya Yudhi Sadewa,Pak Purbaya sukses terus q senang sekali klau memberikan pencerahan tentang ekonomi Indonesia mantsp,sukses terus senang sekali klau beri cerah ekonomi indonesia mantsp,positif,manual
2025-11-01T03:12:23Z,Purbaya Yudhi Sadewa,Rakyat banyak mendukungnya Pak Purbaya yudhi Sadewa jangan takut maju terus yg utamakan kejujuran dan transparansi,rakyat dukung takut maju terus utama jujur transparansi,positif,manual
2025-11-28T10:40:13Z,Purbaya Yudhi Sadewa,Purbaya pusingmunmulia untuk rakyat...kepalamu belum botak..masih kuat kau😂😂😂....kalau Purbaya jangan di lepas...koruptor bisa nari bale bale,pusingmunmulia rakyatkepalamu botakmasih kuat kalau lepaskoruptor nari bale bale,positif,manual
2025-09-02T04:18:38Z,Sri Mulyani Indrawati,"Ibu sri itu bagian dri perjalana hidup bukan,bukan sekedar karir pikirkan tentang negara ini,ibu telah di akui kemampuan bukan sekedar bucara",bagi dri perjalana hidup bukanbukan dar karir pikir negara iniibu aku mampu dar bucara,positif,manual
2025-12-03T22:58:02Z,Purbaya Yudhi Sadewa,Gerombolan penggerogogot rakyat PENGGEROGOT BANGSA DAN NEGARA DPR rakyat TDK percaya BULSHIT,gerombol penggerogogot rakyat gerogot bangsa negara dpr rakyat percaya bulshit,negatif,manual
2025-06-29T23:27:30Z,Sri Mulyani Indrawati,Corruption and Mulyono gangsters are the main challenges for Indonesia😢,corruption and mulyono gangsters are the main challenges for indonesia,negatif,manual
2025-08-29T13:11:28Z,Sri Mulyani Indrawati,Jgn byk utang ksh tau presidennya. Belajar byr utang bgmns. Tanya itung2an sm jerome. Amit2 malu2in,byk utang ksh tahu presiden ajar byr utang bgmns tanya itung2an jerome amit2 malu2in,negatif,manual
2025-11-29T02:09:50Z,Purbaya Yudhi Sadewa,Owh ini toch host yg lagi viral yg jlebb di jawab pak purba 😅,owh toch host viral jlebb jawab purba,netral,manual
2025-12-05T06:02:24Z,Purbaya Yudhi Sadewa,muhidin gubernur kalsel: koboi salah tembak,muhidin gubernur kalsel koboi salah tembak,netral,manual
2025-12-03T13:53:32Z,Purbaya Yudhi Sadewa,Yalah kalau bisnis lg sysah psjak dinaikan bs 2 pengusaha bsk 2 ngak mkn,yalah bisnis sysah psjak naik usaha bsk ngak mkn,negatif,manual
2025-09-02T15:04:52Z,Sri Mulyani Indrawati,Lebih bagus mundur drpd pettahan kan orang tak menghargai propesi orang lain   mungkin dia bs jd mentri tmpa sekolah mk gk menghargai guru dia bs pintar belajar dgn malaikat x pejabat skang klu ngomong atau bkin aturan se enak udel nya aja tmpa mikir nyakiti hati rakyat,lebih bagus mundur drpd pettahan orang harga propesi orang tri tmpa sekolah harga guru pintar ajar malaikat jabat skang klu ngomong bkin atur enak udel tmpa mikir nyakiti hati rakyat,negatif,manual
2025-08-31T12:14:42Z,Sri Mulyani Indrawati,Tanpa guru kamu g jari menteri,guru jari,negatif,manual
2025-09-02T01:07:12Z,Sri Mulyani Indrawati,Pfftt  ... gak pantes loe sok ngasih tausiyah mul .. minggir gih,pfftt pantes loe sok ngasih tausiyah mul minggir gih,negatif,manual
2025-11-28T13:06:10Z,Purbaya Yudhi Sadewa,Sehat sllu Bpk presidenku.... ❤❤😇😇,sehat sllu bapak presiden,positif,manual
2025-12-04T07:07:34Z,Purbaya Yudhi Sadewa,Pak purbaya bongkar semua  kebodohan menteri keuangan seperti srimulyani,bongkar bodoh uang srimulyani,positif,manual
2025-07-24T04:43:13Z,Sri Mulyani Indrawati,mudah mudahan terlaksana....amin ya rabbal alamin,mudah mudah terlaksanaamin rabbal alamin,positif,manual
2025-08-21T04:42:30Z,Sri Mulyani Indrawati,Poli tikus ya gini.. mencla mencle,pol tikus gin mencla mencle,negatif,manual
2025-12-05T04:17:14Z,Purbaya Yudhi Sadewa,"Kalau tanam padi, rumput pasti ikut tumbuh,, semangat pak Purbaya,, negara ini butuh orang orang seperti anda 💪💪",tanam padi rumput ikut tumbuh semangat negara butuh orang orang,positif,manual
2025-11-27T03:21:02Z,Purbaya Yudhi Sadewa,"Bagus pak jelaskan masalah kondisi ekonomi dengan bahasa yg sederhana dengan contoh contoh nya agar kami rakyat kecil yg tdk kerja di kantoran dan sekolah nggak nyampe lulus intinya dagang dijalanan jd punya ilmu yg bermanfaat utk usaha kecil dan menengah, utk pinjaman dr bank himbara tolong dibantu pak Purbaya, kita yg penting bisa usaha utk bisa makan syukur "" Pinjaman tdk ada bunga dan ringan membayar nya ke bank( tempo) jangka nya tdk buru buru atau cepat.",bagus jelas masalah kondisi ekonomi bahasa sederhana contoh contoh rakyat kecil kerja kantor sekolah nyampe lulus inti dagang jalan punya ilmu manfaat usaha kecil tengah pinjam bank himbara bantu penting usaha makan syukur pinjam bunga ringan bayar bank tempo jangka buru buru cepat,positif,manual
2025-08-16T07:20:22Z,Sri Mulyani Indrawati,"Omon omon,tunggu Anies 2029 gaji naik rakyat sejahtera.....!!!?😊",omon omontunggu anies 2029 gaji naik rakyat sejahtera,negatif,manual
2025-09-01T10:54:23Z,Sri Mulyani Indrawati,"Guru yg  mengelu terhada gaji yg ditentukan  ,lebih  baik. Mundur  banyak kok yg antri jadi guru   kat",guru elu terhada gaji tentu lebih baik mundur kok antri guru kat,negatif,manual
2025-11-29T16:26:04Z,Purbaya Yudhi Sadewa,Presidenku 2 preode ❤❤❤❤,presiden preode,netral,manual
2025-12-04T06:35:35Z,Purbaya Yudhi Sadewa,Byk diperlukan peperangan terbuka di internal negeri kita. Semoga kali ini pak Purbaya yg menang,byk perlu peperangan buka internal negeri moga kali menang,positif,manual
2025-11-26T05:08:15Z,Purbaya Yudhi Sadewa,Maju terus pak Purbaya kami selalu mendoakan mu,maju terus selalu doa,positif,manual
2025-10-31T15:30:50Z,Purbaya Yudhi Sadewa,Cerdas,cerdas,positif,manual
