text,tokoh,date,video_title,channel_name,author,text_clean,prediksi_label_raw,score_keyakinan,label_final
Opung dengar tuh.,Purbaya Yudhi Sadewa,2025-12-16T17:36:37Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@Z.A.P88,opung dengar tuh,negative,0.9776334166526794,Negatif
Di pecat,Purbaya Yudhi Sadewa,2025-12-16T17:31:28Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@ferryferry8020,di pecat,negative,0.9991783499717712,Negatif
Sikat terus pk sahkan perampasan aset pk,Purbaya Yudhi Sadewa,2025-12-16T17:29:46Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@yanitobos,sikat terus pk sahkan perampasan aset pk,neutral,0.9678161144256592,Netral
menteri sebelah kanan Menkeu tu buang aja!,Purbaya Yudhi Sadewa,2025-12-16T17:29:08Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@datokmaringgih8998,menteri sebelah kanan menkeu tu buang aja,neutral,0.9970284104347229,Netral
Bahlil tuh pak jewer kuping nya listrik udh bisa di pake buktinya nihil tuh di tmpt bencana,Purbaya Yudhi Sadewa,2025-12-16T17:28:36Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@KecoaBatu-pk3xn,bahlil tuh pak jewer kuping nya listrik udh bisa di pake buktinya nihil tuh di tmpt bencana,negative,0.9978911280632019,Negatif
Uu kontrak karya pt freeport sd 2041 pak,Purbaya Yudhi Sadewa,2025-12-16T17:24:16Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@beerland,uu kontrak karya pt freeport sd pak,neutral,0.998988687992096,Netral
Hapus semua undang2 yang menyengsarakan rakyat pak @prabowo subianto.,Purbaya Yudhi Sadewa,2025-12-16T17:20:38Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@bakoja7487,hapus semua undang yang menyengsarakan rakyat pak subianto,negative,0.9319135546684265,Negatif
"TERMAKSUd TAMBNG BATU BARA


tapi cuman dongeng",Purbaya Yudhi Sadewa,2025-12-16T17:16:56Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@AguariusFebbruari-j3v,termaksud tambng batu bara tapi cuman dongeng,negative,0.7642821669578552,Negatif
Katanya ga boleh ragu2 utk kepetingan rakyat & negara tp jelas menjadi kanker bagi kemajuan negara yaitu korupsi kenapa ragu2 sekali berantas nya? Mana UU perampasan aset atau hukuman mati bagi koruptor? Jgn cm omon2 lah,Purbaya Yudhi Sadewa,2025-12-16T17:16:48Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@Kazeon,katanya ga boleh ragu utk kepetingan rakyat negara tp jelas menjadi kanker bagi kemajuan negara yaitu korupsi kenapa ragu sekali berantas nya mana uu perampasan aset atau hukuman mati bagi koruptor jgn cm omon lah,negative,0.9987188577651978,Negatif
"Sehat-sehat ya bapak presidenku tercinta, saya sebagai rakyat mendukung arah tujuan bapak demi bangsa dan untuk rakyat❤",Purbaya Yudhi Sadewa,2025-12-16T17:15:35Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@agungwahyono1296,sehat sehat ya bapak presidenku tercinta saya sebagai rakyat mendukung arah tujuan bapak demi bangsa dan untuk rakyat,positive,0.9964285492897034,Positif
"jelas tidak bisa bergerak cepat, karena tidak sesuai dengan topoksinya, tidak berkompeten dalam bidang nya",Purbaya Yudhi Sadewa,2025-12-16T17:13:57Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@awfimahashura,jelas tidak bisa bergerak cepat karena tidak sesuai dengan topoksinya tidak berkompeten dalam bidang nya,negative,0.9993626475334167,Negatif
"Yhaaaelaaah,terlalu bertele-tele. Turun sajalah,dah jelas lu gak kompeten. Bencana nasional gak lu keluarin,buat nutup dosa usaha lu yg rusak alam sumatra.",Purbaya Yudhi Sadewa,2025-12-16T17:04:49Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@NerroAje,yhaaaelaaah terlalu bertele tele turun sajalah dah jelas lu gak kompeten bencana nasional gak lu keluarin buat nutup dosa usaha lu yg rusak alam sumatra,negative,0.9994214773178101,Negatif
Bahlul apa kabar?,Purbaya Yudhi Sadewa,2025-12-16T17:03:32Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@Yipikayeyy,bahlul apa kabar,negative,0.9640821814537048,Negatif
Koruptor dan mafia yang kalahkan negara.,Purbaya Yudhi Sadewa,2025-12-16T17:03:22Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@arumgondangmanis4580,koruptor dan mafia yang kalahkan negara,negative,0.8278916478157043,Negatif
"Mudah mudahan terlaksana bukan hanya wacana saja.yg terpenting lapangan pekerjaan Pak untuk anak anak kita untuk rakyat Indonesia Agar mereka semua bekerja tidak pada nganggur,itu adalah salah satu tanggung jawab para pemegang kekuasaan di negara ini.semoga rakyat indonesia makmur damai dan sejahtera.Aamiin",Purbaya Yudhi Sadewa,2025-12-16T17:03:14Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@MogaBp,mudah mudahan terlaksana bukan hanya wacana saja yg terpenting lapangan pekerjaan pak untuk anak anak kita untuk rakyat indonesia agar mereka semua bekerja tidak pada nganggur itu adalah salah satu tanggung jawab para pemegang kekuasaan di negara ini semoga rakyat indonesia makmur damai dan sejahtera aamiin,positive,0.9742169380187988,Positif
"Menteri kehutanan mentri bahlil mentri zulhas itu di buang Pak ganti yg lebih baik, mereka masih menjabat nama Bapak bisa rusak Karena anak buah bapak yg gak becus kerja",Purbaya Yudhi Sadewa,2025-12-16T17:02:46Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@leopard-f4o,menteri kehutanan mentri bahlil mentri zulhas itu di buang pak ganti yg lebih baik mereka masih menjabat nama bapak bisa rusak karena anak buah bapak yg gak becus kerja,negative,0.9993403553962708,Negatif
Jangan omon omon lg ya pak,Purbaya Yudhi Sadewa,2025-12-16T16:59:56Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@Budimansyahputra-ji9zt,jangan omon omon lg ya pak,negative,0.9945641756057739,Negatif
Pecat luhut,Purbaya Yudhi Sadewa,2025-12-16T16:59:34Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@bie_mytube,pecat luhut,negative,0.977665901184082,Negatif
"Saran sih pakk harusnya dapat laporan bilang aja LAPORAN DARI MASYARAKAT jangan langsung sebut nama pak purbaya takutnya kenapa""pula kan memang kalau ada yang melawan pak purbaya kami masyarakat yang pro pak pur akan bergerak juga",Purbaya Yudhi Sadewa,2025-12-16T16:58:20Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@VICTORIABET4D-TEMPAT-NGESLOT,saran sih pakk harusnya dapat laporan bilang aja laporan dari masyarakat jangan langsung sebut nama pak purbaya takutnya kenapa pula kan memang kalau ada yang melawan pak purbaya kami masyarakat yang pro pak pur akan bergerak juga,negative,0.9938819408416748,Negatif
Perampasan aset yang menguntungkan tapi gak acc juga,Purbaya Yudhi Sadewa,2025-12-16T16:58:19Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@LeonardHendrawan-c8q,perampasan aset yang menguntungkan tapi gak acc juga,negative,0.997878909111023,Negatif
Aguk Aguk aja Mentri kehutanan menutupi malu,Purbaya Yudhi Sadewa,2025-12-16T16:57:51Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@akbarlahat2844,aguk aguk aja mentri kehutanan menutupi malu,negative,0.9992757439613342,Negatif
Jangan cuma omon omon pak wowo.itu kapolri jelas menentang keputusan MA tapi pak Wowo diem aja.kami muak dengan pidato2 yng berapi api tapi hasilnya nol persen.,Purbaya Yudhi Sadewa,2025-12-16T16:55:35Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@HariAdi-h4v,jangan cuma omon omon pak wowo itu kapolri jelas menentang keputusan ma tapi pak wowo diem aja kami muak dengan pidato yng berapi api tapi hasilnya nol persen,negative,0.9993069171905518,Negatif
"🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩❤❤❤❤❤❤❤❤🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩
SIKAT PAK SAYA DUKUNG SAYA DO'AKAN YG BUAT BANGSA INDONESIA AAMIIN AAMIIN AAMIII YAROBBAL""ALAAMIIIN 🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🙏🙏🙏🙏",Purbaya Yudhi Sadewa,2025-12-16T16:53:32Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@JohandaFirdaus,sikat pak saya dukung saya do akan yg buat bangsa indonesia aamiin aamiin aamiii yarobbal alaamiiin,positive,0.9976159334182739,Positif
"Opung ada disana, panas kuping ga ya",Purbaya Yudhi Sadewa,2025-12-16T16:53:22Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@cekguarsandi2171,opung ada disana panas kuping ga ya,negative,0.9002557396888733,Negatif
JANGANG TUNGGU LAMA SIKATT PAK.YG GX BENER TOLONG SIKAT LANGDUNG PAK 🙏🙏🙏🙏🙏,Purbaya Yudhi Sadewa,2025-12-16T16:48:01Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@JohandaFirdaus,jangang tunggu lama sikatt pak yg gx bener tolong sikat langdung pak,negative,0.9618728756904602,Negatif
"Jangan omon omon aja pak, reshuffle menteri2 titipan / TERMUL2 yang menggerogoti dari dalam, sampe kapan bpk PELIHARA,  mereka PENGKHIANAT RAKYAT dan NEGARA",Purbaya Yudhi Sadewa,2025-12-16T16:45:28Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@NashwaWijaya,jangan omon omon aja pak reshuffle menteri titipan termul yang menggerogoti dari dalam sampe kapan bpk pelihara mereka pengkhianat rakyat dan negara,negative,0.9994613528251648,Negatif
"Si wowo berutang budi ma si oppung karna, si oppung pernah bantuin memperpanjang visa si wowo waktu lari ke jordan",Purbaya Yudhi Sadewa,2025-12-16T16:43:07Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@dwaynephilip7480,si wowo berutang budi ma si oppung karna si oppung pernah bantuin memperpanjang visa si wowo waktu lari ke jordan,neutral,0.8232850432395935,Netral
"Mentri kehutanan dan mentri esdm tidak 1 pun memperpanjang ijin? Hahaha masyarakat percaya? Toh yang udah di viral aja di sumtra kemaren bupati nya bilang,belum yang tambang di raja ampat hahaha",Purbaya Yudhi Sadewa,2025-12-16T16:39:15Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@boyindra6631,mentri kehutanan dan mentri esdm tidak pun memperpanjang ijin hahaha masyarakat percaya toh yang udah di viral aja di sumtra kemaren bupati nya bilang belum yang tambang di raja ampat hahaha,negative,0.7895943522453308,Negatif
"Misalkan UUD 45 pasal 33 dijalankan sesuai jalur, tdk si anulir melalui UU turunannya,,
Rakyat makmur dan bisa lepas dari penjajahan ekonomi, entah itu penjajah dari bangsa sendiri atau bangsa asing",Purbaya Yudhi Sadewa,2025-12-16T16:26:42Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@anindyapramudita4233,misalkan uud pasal dijalankan sesuai jalur tdk si anulir melalui uu turunannya rakyat makmur dan bisa lepas dari penjajahan ekonomi entah itu penjajah dari bangsa sendiri atau bangsa asing,positive,0.920943558216095,Positif
Ini sinetron episode berapa ya,Purbaya Yudhi Sadewa,2025-12-16T16:24:47Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@JongHyunSM,ini sinetron episode berapa ya,neutral,0.7782220244407654,Netral
bahlil kmna km 😂😂,Purbaya Yudhi Sadewa,2025-12-16T16:24:34Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@anttoxic2724,bahlil kmna km,negative,0.8372204899787903,Negatif
Betuuuuuullllllll,Purbaya Yudhi Sadewa,2025-12-16T16:23:02Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@juriahbarus2707,betuuuuuullllllll,positive,0.9797500371932983,Positif
"Yaa kali disimpan dulu lm lm tersimpan jadi di korupsi ,begitu kah pokok na mah cari celah buat itu duwet tdk terserap kebawah ternyata disimpen nya.",Purbaya Yudhi Sadewa,2025-12-16T16:18:34Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@riyanti.9917,yaa kali disimpan dulu lm lm tersimpan jadi di korupsi begitu kah pokok na mah cari celah buat itu duwet tdk terserap kebawah ternyata disimpen nya,negative,0.9991528987884521,Negatif
Keren Pak Prabowo,Purbaya Yudhi Sadewa,2025-12-16T16:11:22Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@uhi_guyu,keren pak prabowo,positive,0.9987958669662476,Positif
"pecat segera pak bagi yang tidak serius untuk rakyat, jangan main² sama rakyat kita hidup di dunia cuma 1x, jadi berikanlah yang terbaik",Purbaya Yudhi Sadewa,2025-12-16T16:08:47Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@UjanghHufg,pecat segera pak bagi yang tidak serius untuk rakyat jangan main sama rakyat kita hidup di dunia cuma x jadi berikanlah yang terbaik,negative,0.9990814924240112,Negatif
Panikkkk ga panik lah masa engga 😂 wayoloh pada tobat dah yg masih pada melenceng!!! kasian masyarakat harusnya pada hidup enak,Purbaya Yudhi Sadewa,2025-12-16T16:01:48Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@buset4928,panikkkk ga panik lah masa engga wayoloh pada tobat dah yg masih pada melenceng kasian masyarakat harusnya pada hidup enak,negative,0.9977420568466187,Negatif
Singkir kan kacung mulyono wooooo kalo mau maju ini negara,Purbaya Yudhi Sadewa,2025-12-16T15:59:36Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@AbexTomy,singkir kan kacung mulyono wooooo kalo mau maju ini negara,negative,0.9988526105880737,Negatif
Bahlil itu perlu diganti rakyat rugi besar,Purbaya Yudhi Sadewa,2025-12-16T15:57:08Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@farhannazhib5846,bahlil itu perlu diganti rakyat rugi besar,negative,0.9977992177009583,Negatif
Mentri mentri titipan geng raja solo biangkerok bagi NKRI,Purbaya Yudhi Sadewa,2025-12-16T15:55:05Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@Pancasila45,mentri mentri titipan geng raja solo biangkerok bagi nkri,neutral,0.9981749057769775,Netral
Gedebul gede wadul,Purbaya Yudhi Sadewa,2025-12-16T15:53:03Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@NickAlaska,gedebul gede wadul,negative,0.9992456436157227,Negatif
Pidatonya kebanyakan mikir paaak 😂😂😂😂😂😂,Purbaya Yudhi Sadewa,2025-12-16T15:52:42Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@suryalaksmanasurya257,pidatonya kebanyakan mikir paaak,negative,0.9955940842628479,Negatif
Terbebani termul sih gak leluasa,Purbaya Yudhi Sadewa,2025-12-16T15:51:33Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@Aesthetic4917,terbebani termul sih gak leluasa,negative,0.9989790916442871,Negatif
"Doa q saat ini untuk negara tercinta q, doa ku untuk bapak ku pak prabowo bap purbaya dan pak tedy sehat selalu ❤❤❤",Purbaya Yudhi Sadewa,2025-12-16T15:50:33Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@zakyandra7257,doa q saat ini untuk negara tercinta q doa ku untuk bapak ku pak prabowo bap purbaya dan pak tedy sehat selalu,positive,0.9689556956291199,Positif
Hmm..menteri apa ya kira²? (Dengan muka dungu sok mikir),Purbaya Yudhi Sadewa,2025-12-16T15:49:32Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@workshopkayukreatif7445,hmm menteri apa ya kira dengan muka dungu sok mikir,negative,0.997707724571228,Negatif
"Ekonomi jelek, faktor mbg , kasih uang aja",Purbaya Yudhi Sadewa,2025-12-16T15:48:49Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@merpatimangahar6253,ekonomi jelek faktor mbg kasih uang aja,negative,0.9994996786117554,Negatif
menteri tidak becus usut aja juga aprat pun  juga kalau pak prabowo omong tidak di anggap para pejabat,Purbaya Yudhi Sadewa,2025-12-16T15:46:54Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@edyakusuma,menteri tidak becus usut aja juga aprat pun juga kalau pak prabowo omong tidak di anggap para pejabat,negative,0.9990668892860413,Negatif
Pecat sjja! Koq omon2 bgt sih lo,Purbaya Yudhi Sadewa,2025-12-16T15:44:26Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@bona226,pecat sjja koq omon bgt sih lo,negative,0.9990712404251099,Negatif
kelango klengo lihat pak purbaya😅😅,Purbaya Yudhi Sadewa,2025-12-16T15:44:16Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@ekoyan2263,kelango klengo lihat pak purbaya,neutral,0.9937565326690674,Netral
Mantaap pecat si bahlil si luhut,Purbaya Yudhi Sadewa,2025-12-16T15:44:05Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@IdaFaridha-l7v,mantaap pecat si bahlil si luhut,negative,0.9494028091430664,Negatif
"Gaji kami kapan dibayarkan pak, kami mau bayar hutang ke bank, kenapa sih gaji kami selalu ditahan tahan pemerintah.",Purbaya Yudhi Sadewa,2025-12-16T15:43:56Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@fadilofficial_29,gaji kami kapan dibayarkan pak kami mau bayar hutang ke bank kenapa sih gaji kami selalu ditahan tahan pemerintah,negative,0.9960804581642151,Negatif
MEN ESDM rendah sok pinter😂😂😂 cuma liat2 doang 😅 padahal bahlul,Purbaya Yudhi Sadewa,2025-12-16T15:43:12Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@NisakAbusiri,men esdm rendah sok pinter cuma liat doang padahal bahlul,negative,0.9993187189102173,Negatif
"Itulah hasilnya kalau hidup dengan memakan uang haram @ Korupsi,maka hidupnya tidak keruan dan setiap titisan darah yang mengalir ke otaknya adalah darah haram justeru mengakibatkan  otak jadi Stunting.Pemikiran di bawah rata rata.Tidak dapat berfikir dengan waras untuk menyelesaikan masalah.Apatah lagi waktu ditimpa bencana.semua mikir uang dari nyawa rakyatnya😂😂",Purbaya Yudhi Sadewa,2025-12-16T15:42:52Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@Kambing-boer,itulah hasilnya kalau hidup dengan memakan uang haram korupsi maka hidupnya tidak keruan dan setiap titisan darah yang mengalir ke otaknya adalah darah haram justeru mengakibatkan otak jadi stunting pemikiran di bawah rata rata tidak dapat berfikir dengan waras untuk menyelesaikan masalah apatah lagi waktu ditimpa bencana semua mikir uang dari nyawa rakyatnya,negative,0.9994288086891174,Negatif
Menyala presidenku!,Purbaya Yudhi Sadewa,2025-12-16T15:42:31Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@SmartFred13,menyala presidenku,negative,0.8197005987167358,Negatif
Ah aing mah teu sabar KDM maju jadi capres teu sabar bapak aing mimpin negara ieu,Purbaya Yudhi Sadewa,2025-12-16T15:38:20Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@bogellegok8860,ah aing mah teu sabar kdm maju jadi capres teu sabar bapak aing mimpin negara ieu,positive,0.9963983297348022,Positif
Judulnya terlalu sensitif,Purbaya Yudhi Sadewa,2025-12-16T15:37:16Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@AMPUNVLOG,judulnya terlalu sensitif,negative,0.9866147637367249,Negatif
Ngapain kalau diumumin malah bikin gaduh pa..fired ganti yg kompeten🎉🎉🎉,Purbaya Yudhi Sadewa,2025-12-16T15:32:55Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@Janassl-b5j,ngapain kalau diumumin malah bikin gaduh pa fired ganti yg kompeten,negative,0.998801589012146,Negatif
Seharusnya menteri yang dulu di audit tuh😂,Purbaya Yudhi Sadewa,2025-12-16T15:31:45Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@tejopartomo4978,seharusnya menteri yang dulu di audit tuh,negative,0.5723987817764282,Negatif
Bahlil di amputasi ja pak mulut nya biar gak suka bohong 😂,Purbaya Yudhi Sadewa,2025-12-16T15:29:16Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@DheaKristanti-c3e,bahlil di amputasi ja pak mulut nya biar gak suka bohong,negative,0.9969797730445862,Negatif
Prabowo 2 periode,Purbaya Yudhi Sadewa,2025-12-16T15:28:17Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@derinicolassyaputra1391,prabowo periode,neutral,0.9928652048110962,Netral
Omon-omon solusi nya 😂😂😂,Purbaya Yudhi Sadewa,2025-12-16T15:26:19Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@navigasiin,omon omon solusi nya,negative,0.8074355721473694,Negatif
